,Easting(m),Northing(m),Elevation(m)
0,554991.4844,3938520.5937,438.0
1,548180.6719,3937491.0625,494.3125
2,539152.375,3938362.1875,550.5625
3,531391.2109,3938599.7812,604.8125
4,523471.6484,3938916.5625,663.125
5,516423.25,3939154.1563,719.4375
6,507424.0625,3939822.5625,775.7143
7,499633.7813,3939470.9375,832.3125
8,493604.8672,3938323.9063,881.0
9,487665.2031,3936660.7813,930.0
10,480458.3984,3934839.2813,831.5
11,473489.1914,3932780.2188,733.0
12,468183.0859,3931354.6875,779.5
13,461607.6719,3929976.5,826.0
14,455907.7734,3928186.8437,874.0
15,450205.6914,3926444.5625,919.0
16,443605.6719,3924415.125,940.5
17,437296.7188,3921942.75,962.0
18,431753.0,3919630.25,852.0
19,426130.2344,3916465.9062,742.0
20,419715.3906,3912822.9062,715.6875
21,413440.5078,3909063.4063,689.3333
22,407056.125,3904936.25,663.0
23,403084.3203,3900943.5937,636.625
