,Easting(m),Northing(m),Elevation(m)
0,528766.6875,4028098.75,0.0
1,527734.125,4028745.0,0.0
2,526500.375,4029432.0,0.0
3,525144.1875,4030397.25,0.0
4,524095.625,4031154.0,0.0
5,523428.125,4031700.0,0.0
6,523250.3125,4031835.0,0.0
7,521988.7188,4032620.75,0.0
8,521090.2813,4033222.25,0.0
9,520122.0,4034103.25,0.0
10,519380.4688,4034928.25,0.0
11,518851.375,4035248.75,0.0
12,518756.4687,4035555.75,0.0
13,518107.0937,4036078.75,0.0
14,517663.2188,4036698.75,0.0
15,516918.9375,4037528.5,0.0
16,516375.6875,4038252.25,0.0
17,515984.875,4038973.0,0.0
18,515298.125,4040106.5,0.0
19,514013.4375,4041809.5,0.0
20,510899.5,4043501.5,-26.0
21,510647.0938,4044863.0,-41.0
22,510266.7812,4045549.25,-2.0
23,509660.5938,4046240.5,-6.0
24,508531.2187,4046265.5,-59.0
25,506164.6563,4048331.5,-53.0
26,505036.0625,4049700.75,-23.0
27,504445.7187,4050055.75,-37.0
28,503330.1875,4051239.0,-20.0
29,501111.1563,4053095.75,73.0
30,500782.25,4053555.0,118.0
31,500399.4063,4054128.5,156.0
32,498906.9688,4055630.25,119.0
33,496128.0625,4057725.5,217.0
34,493829.0625,4059691.5,140.0
35,491031.75,4062357.5,55.0
36,489156.2188,4064432.75,47.0
37,488148.4063,4065788.25,18.0
38,487455.0,4066730.25,15.0
39,486821.25,4067276.5,21.0
40,486070.3438,4068003.5,20.0
41,485314.3438,4069602.25,23.0
42,483905.3125,4072345.5,117.0
43,482861.9375,4073724.5,159.0
44,482253.0313,4074302.75,159.0
45,481388.5313,4075480.5,139.0
46,480851.8437,4076981.0,177.0
47,480070.5313,4077854.0,211.0
48,479294.625,4078549.0,241.0
49,478857.625,4079236.75,291.0
50,478443.5937,4080196.25,373.0
51,478122.4687,4081143.5,458.0
52,476242.875,4083701.75,552.0
53,474806.4375,4085202.25,609.0
54,474510.0625,4086308.25,700.0
55,474006.125,4087367.25,653.0
56,473294.0625,4088400.0,660.0
57,472090.9063,4090234.5,753.0
58,470261.4375,4091857.0,806.0
59,469413.5,4093300.0,838.0
60,469016.5312,4094370.75,791.0
61,466580.4375,4096684.5,665.0
62,466172.5938,4097594.5,651.0
63,464171.4063,4100241.0,597.0
64,463847.6875,4100687.0,611.0
65,463348.0938,4101296.75,650.0
66,461785.9063,4102723.75,809.0
67,460664.2812,4103663.0,949.0
68,459861.3125,4104743.0,866.0
69,442162.7188,4127699.5,1482.0
