,Easting(m),Northing(m),Elevation(m)
0,305394.875,3842955.0,1669.2773
1,304130.9063,3843286.5,1717.2051
2,302675.3438,3844352.5,1608.7441
3,300514.3125,3844306.5,1495.1543
4,299244.8125,3843813.5,1478.6016
5,297119.4062,3844576.0,1558.7949
6,294741.875,3843818.0,1387.6758
7,292970.1562,3843090.75,1294.6484
8,291235.75,3841971.75,1217.3047
9,289538.0312,3840779.75,1170.9258
10,289029.5,3840577.75,1198.5703
11,287996.1875,3840047.25,1175.0117
12,286616.125,3839562.0,1157.0
13,285105.5312,3839152.0,1203.8086
14,283986.5625,3838741.75,1230.1504
15,282681.0938,3838573.75,1271.3105
16,280238.0,3838350.0,1385.7031
17,278764.6875,3838406.0,1283.0703
18,277520.0,3838589.5,1294.4883
