,Easting(m),Northing(m),Elevation(m)
0,335918.5,3832271.5,1132.0234
1,333077.125,3832328.25,1189.8125
2,331154.0937,3832620.5,1610.2305
3,326655.9375,3832141.0,1388.375
4,325244.9375,3831571.0,1246.8965
5,322477.6875,3830255.75,1030.9141
6,319107.7813,3828221.5,890.4023
7,317371.0313,3828481.25,792.416
8,315848.8125,3828511.0,1174.457
9,312678.75,3828009.75,1041.9531
10,308861.5625,3828190.75,1180.4883
11,304684.5,3828187.0,1204.5566
12,301211.8438,3829617.5,1228.7695
13,298498.8125,3830287.75,1492.748
14,295642.1563,3830942.25,1338.7871
15,292897.1875,3831437.25,1453.3281
16,290925.5313,3832255.75,1544.0527
17,287461.4375,3832891.0,1495.9355
18,285780.5937,3833711.0,1544.8418
19,284222.7812,3835125.25,1587.9316
20,282705.9375,3836744.75,1573.2129
21,281004.625,3837031.5,1508.457
22,279590.2812,3837544.0,1321.9824
23,277520.0,3838589.5,1294.4883
