,Easting(m),Northing(m),Elevation(m)
0,194045.5625,3851179.75,135.4716
1,193204.1875,3852350.0,178.2343
2,192784.375,3853346.0,271.5477
3,192296.8125,3854689.75,266.3569
4,191873.625,3855580.0,270.5816
5,191373.25,3856552.75,237.2014
6,190942.0,3857204.75,263.2887
7,190121.6875,3858188.75,271.6541
8,189621.625,3858862.0,271.7825
9,189613.25,3859151.0,291.1213
10,189654.125,3859518.75,335.556
11,189663.3125,3860068.75,358.3314
12,189697.625,3860363.5,323.7422
13,189455.125,3860806.25,283.2273
14,188962.875,3860917.75,248.2466
15,188711.8125,3861097.0,229.9234
16,188103.5,3860990.0,202.616
17,187912.125,3860916.5,226.6344
18,187699.9375,3860801.75,196.3843
19,187298.5,3860667.25,182.3186
20,186790.1875,3860456.25,236.49
21,186323.75,3860436.0,194.4774
22,185714.5,3860331.0,173.8348
23,184485.5,3861175.75,125.9898
24,183858.75,3861569.75,159.1404
25,183576.75,3861898.5,201.7835
26,183161.5,3862231.75,252.4423
27,182798.6875,3862536.75,211.1043
28,182376.75,3862684.75,170.3436
29,181897.6875,3862728.75,188.3162
30,181335.8125,3862696.0,184.9789
31,180885.375,3862792.0,236.7218
32,180622.5625,3862907.75,255.6493
33,179453.4375,3863799.75,165.4937
34,178165.75,3865094.0,182.6827
35,177022.875,3865958.75,151.1577
36,175184.8125,3867512.75,170.5046
37,174073.0,3868482.75,188.5759
38,173021.25,3869111.25,160.4805
39,172834.375,3869299.0,227.864
40,172671.3125,3869419.25,199.4178
41,172421.1875,3869598.0,240.4988
42,172213.5625,3869719.75,164.2076
43,171769.3125,3870209.25,233.6962
44,171403.375,3870595.75,187.6072
45,171142.125,3870778.5,119.067
46,170914.875,3870864.0,103.6433
47,170393.75,3871036.75,133.8895
48,169949.5625,3870972.75,158.112
49,169050.625,3871192.25,157.2291
50,168076.875,3871547.75,126.5224
51,166842.625,3872072.25,131.4105
52,165224.125,3873009.75,0.0
53,163062.875,3874302.0,-25.7578
54,162249.875,3874507.0,-33.4809
55,160169.5,3875559.4375,-51.0295
56,157716.75,3876696.75,-67.3653
57,156687.5625,3877500.75,-76.0583
