,Easting(m),Northing(m),Elevation(m)
0,216819.8125,3837179.25,222.773
1,216648.25,3837402.25,217.0297
2,216461.125,3837645.5,225.0397
3,216319.5,3837825.75,227.0227
4,216093.75,3838077.25,228.0302
5,215905.375,3838277.25,232.2962
6,215575.875,3838576.75,239.5443
7,215297.5625,3838846.75,240.4021
8,214944.6875,3839187.75,243.7236
9,214791.375,3839354.75,243.0702
10,214535.1875,3839634.75,243.9933
11,214392.5,3839813.0,249.4735
12,214194.375,3840035.25,250.4823
13,214001.625,3840249.75,255.8243
14,213647.875,3840625.75,258.0765
15,213492.875,3840866.5,263.913
16,213312.4375,3841176.75,272.3888
17,213097.0625,3841425.5,284.0268
18,212812.3125,3841733.0,306.4336
19,212582.125,3841930.75,272.6022
20,212119.375,3842213.5,263.8847
21,211954.4375,3842340.0,263.8702
22,211776.75,3842483.25,281.7347
23,211543.625,3842680.25,296.0632
24,211181.25,3843021.75,240.1803
25,211042.5,3843171.0,253.9683
26,210843.1875,3843355.0,265.3361
27,210489.875,3843681.75,262.6768
28,210168.25,3844091.5,268.9848
29,209966.6875,3844293.75,275.7686
30,209576.0,3844640.5,298.6848
31,209091.875,3845032.0,327.3523
32,208633.125,3845322.0,308.5068
33,208220.625,3845636.5,286.3792
34,207757.1875,3846029.75,256.3535
35,207616.0625,3846240.5,252.815
36,207216.0625,3846504.0,257.1216
37,207045.0625,3846704.25,265.7593
38,206878.25,3846821.25,277.3665
39,206616.1875,3846989.5,278.6378
40,206130.125,3847235.75,260.1805
41,205824.8125,3847325.25,243.6155
42,205569.8125,3847492.25,226.2327
43,205216.625,3847627.75,226.5019
44,204978.125,3847714.75,233.7638
45,204535.75,3847829.0,229.7891
46,204065.3125,3847906.5,209.0275
47,203773.0,3847937.5,206.2152
48,203152.6875,3848052.75,203.332
49,202639.8125,3848145.25,195.0708
50,202215.75,3848197.5,193.3261
51,201987.9375,3848218.75,190.633
52,201324.875,3848298.0,186.9946
53,200962.4375,3848381.0,184.7914
54,200499.6875,3848468.75,188.8987
55,200220.75,3848556.0,203.0513
56,199962.125,3848627.75,189.5713
57,199618.25,3848732.25,191.5766
58,199243.875,3848860.75,185.6534
59,198768.0,3848955.25,186.3595
60,198448.0,3849001.0,192.2341
61,198121.75,3849121.0,177.24
62,197705.6875,3849283.5,176.6781
63,197448.625,3849408.0,175.2413
64,197245.75,3849503.5,172.6753
65,197035.375,3849603.25,172.2305
66,196857.5,3849710.0,167.3818
67,196380.25,3849919.75,168.8738
68,196194.75,3850025.75,163.2002
69,195921.0625,3850132.25,165.4961
70,195561.8125,3850293.75,162.1745
71,195223.75,3850400.5,161.6973
72,195035.1875,3850469.0,156.5702
73,194703.375,3850691.75,145.2112
74,194531.25,3850963.5,141.2748
