,Easting(m),Northing(m),Elevation(m)
0,215724.0625,3838394.75,241.3361
1,215206.6875,3838584.0,236.5228
2,214225.375,3838854.75,235.7487
3,213376.125,3839068.0,305.1824
4,212497.4375,3839202.75,252.6797
5,211491.3125,3839527.5,266.4848
6,210674.875,3839925.75,294.8169
7,209992.125,3840319.75,276.1345
8,209549.0938,3840679.25,204.0963
9,209109.5625,3841144.5,272.141
10,208677.1563,3841822.0,312.6761
11,208297.3125,3842471.25,360.152
12,207963.9375,3842906.75,254.8441
13,207651.1875,3843155.75,322.2259
14,206194.0,3843575.75,324.8979
15,204872.3125,3844044.5,376.7534
16,203420.75,3844624.0,399.8357
17,201553.5625,3845562.75,293.346
18,200164.6875,3846405.75,320.3295
19,198988.0,3847188.75,349.8938
20,197588.4062,3848483.75,311.5651
21,197303.75,3848758.75,207.0287
22,196392.8125,3849480.0,252.3418
23,195895.5,3849789.0,198.8026
24,195291.375,3850101.75,229.065
25,194794.1562,3850410.75,187.529
26,194045.5625,3851179.75,135.4715
