,Easting(m),Northing(m),Elevation(m)
0,205063.0,3843927.75,415.9638
1,203348.6875,3844069.25,321.2483
2,201329.875,3844482.75,470.6902
3,199975.5,3844767.5,441.8792
4,198724.375,3844943.0,426.5693
5,197555.3125,3845169.0,435.1541
6,196384.4375,3845342.0,355.0485
7,195425.4375,3845454.75,377.6629
8,194020.625,3845822.0,349.1306
9,192881.25,3846127.0,318.1245
10,191817.375,3846296.75,294.8011
11,191047.375,3846456.5,272.3954
12,190673.375,3846469.75,311.9065
13,190457.8125,3846424.25,293.5461
14,189840.625,3846366.5,312.1404
15,189124.125,3846524.25,250.0275
16,188698.625,3846592.5,227.2973
17,188249.125,3846741.0,252.3738
18,187911.25,3847018.5,226.5848
19,187544.875,3847243.5,239.2715
20,187174.625,3847363.0,237.3943
21,186696.6875,3847459.5,214.1536
22,186246.375,3847581.75,236.7868
23,185932.375,3847778.5,226.3972
24,185698.625,3847972.5,265.329
25,185521.0625,3848244.25,322.3774
26,185268.125,3848651.25,257.7925
27,184970.25,3849298.75,302.4387
28,184511.3125,3849925.5,330.9963
29,183783.5625,3850508.75,272.9319
30,183284.75,3850765.5,181.7235
31,182742.125,3851289.25,196.8448
32,181261.3125,3853226.75,73.9927
33,179780.1875,3855137.75,128.3403
34,179082.75,3855800.0,181.388
35,178053.875,3856899.25,188.9148
36,177491.9375,3857609.5,146.8674
37,177355.4375,3857821.25,192.8956
38,177017.3125,3858248.75,219.2966
39,176748.875,3858605.25,229.2627
40,176167.4375,3859189.75,190.4051
41,175719.375,3859570.75,85.5904
42,175464.0625,3859793.25,72.0402
43,175239.1875,3859986.25,97.237
44,174524.25,3860643.75,112.7822
45,174343.5625,3860754.5,134.1008
46,174100.6875,3861059.75,137.7415
47,173688.875,3861586.75,143.5492
48,173451.5625,3861834.25,111.0868
49,173110.375,3862081.5,101.0965
50,172861.875,3862233.0,106.4863
51,172670.5,3862367.25,97.6652
52,172468.0,3862513.25,105.204
53,172291.5625,3862635.25,107.3071
54,172012.625,3862795.75,116.345
55,171558.0,3862993.25,148.2764
56,171123.0625,3863205.75,133.6228
57,170797.25,3863452.5,103.8364
58,170069.625,3863764.25,43.5888
59,169734.5,3863969.0,30.2689
60,169439.375,3864107.0,19.8861
61,168933.9375,3864391.25,0.0
62,168639.9375,3864560.0,0.0
63,168318.4375,3864718.0,0.0
64,168118.375,3864825.5,-5.4644
65,167933.875,3864936.25,-7.4391
66,167402.75,3864974.75,-15.9172
67,165573.75,3865495.75,-20.6754
68,164162.8125,3866209.25,-24.6082
69,163389.6875,3866586.0,-25.5486
70,162640.375,3866684.25,-27.1503
71,161331.25,3866457.5,-31.2885
72,160312.5,3866670.75,-38.1049
73,159531.75,3866839.8125,-45.0943
