,Easting(m),Northing(m),Elevation(m)
0,186653.5,3890878.25,286.2027
1,186303.75,3890995.25,330.748
2,186134.875,3891109.0,304.5618
3,185877.25,3891318.75,292.3876
4,185665.3125,3891415.0,280.1682
5,185312.75,3891559.0,286.7907
6,184884.875,3891748.25,281.9828
7,184456.5,3891922.0,301.5346
8,183836.125,3892010.5,292.1896
9,183574.0625,3892105.0,294.3274
10,183041.0,3892363.25,326.2771
11,182843.1875,3892424.5,327.5815
12,182420.375,3892544.25,245.0817
13,182311.875,3892729.0,222.3526
14,182205.0625,3892956.0,183.7599
15,182006.0,3893286.5,186.7887
16,181866.5,3893596.5,109.7245
17,181727.3125,3893754.75,117.6812
18,181470.8125,3893995.0,112.6781
19,181138.875,3894402.5,132.165
20,180839.125,3894828.5,197.6649
21,180604.75,3895115.25,137.9279
22,180536.0,3895466.5,146.4223
23,180346.0625,3895547.5,120.759
24,180111.6875,3895834.0,141.9756
25,179749.5,3896073.25,144.3633
26,179410.0625,3896326.25,114.5353
27,179027.8125,3896729.5,105.8612
28,178694.875,3896856.25,86.9139
29,178521.875,3897196.5,87.7008
30,178436.0,3897385.0,90.6599
31,178222.0,3897518.75,101.7217
32,177940.5,3897732.75,111.8402
33,177492.75,3897867.25,127.0571
34,177057.4375,3898034.75,151.3701
35,176744.125,3898090.5,138.831
36,176357.4375,3898271.25,153.6276
37,176096.3125,3898332.25,147.2238
38,175801.0,3898372.5,144.1623
39,175506.875,3898650.0,129.3053
40,175181.6875,3898888.0,108.9674
41,174835.375,3899056.0,85.4813
42,174490.5,3899261.0,95.4123
43,174082.9375,3899379.5,71.0107
44,173739.375,3899438.75,78.8494
45,173471.9375,3899517.25,90.1687
46,173194.5,3899633.5,100.8689
47,172900.625,3899808.0,133.8013
48,172719.0625,3899925.0,138.5974
49,172345.1875,3900149.5,72.6169
50,171907.5625,3900358.0,94.2615
51,171322.875,3900401.0,61.9997
52,171094.8125,3900463.25,63.2108
53,170842.4375,3900588.75,95.1707
54,170617.8125,3900753.0,104.1858
55,170375.8125,3900872.75,121.5158
56,169994.125,3901233.5,183.8853
57,169593.3125,3901433.25,185.4746
58,169273.5625,3901603.5,159.442
59,168960.5,3901810.75,162.8338
60,168550.25,3901971.0,154.5978
61,168148.25,3902064.75,137.6342
62,167481.75,3902319.0,142.7173
63,167130.0,3902482.5,180.4666
64,166796.9375,3902724.75,147.678
65,166626.9375,3902858.0,111.7863
66,165275.625,3904812.5,30.4755
67,165128.125,3905083.5,35.618
68,164887.75,3905478.25,32.0051
69,164695.5,3905870.75,37.4931
70,164577.9375,3906107.0,47.2962
71,163884.8125,3907151.0,68.4088
72,163674.75,3907407.25,60.7793
73,163374.9375,3907658.5,63.9214
74,163180.9375,3907789.75,72.4432
75,162687.375,3908174.75,76.9871
76,162556.5,3908554.75,94.331
77,162163.5625,3908871.5,100.8693
78,161950.0625,3908996.0,99.5356
79,161665.25,3909239.0,109.8573
80,161319.0625,3909331.25,115.7001
81,161105.25,3909568.75,110.4486
82,160717.25,3909831.75,129.3273
83,160424.25,3909986.75,119.4323
84,160260.75,3910109.25,116.7988
85,160060.5,3910191.0,121.3688
86,159609.25,3910483.25,95.1876
87,159407.9375,3910622.5,94.1361
88,159180.625,3910701.75,100.5932
89,158889.375,3910891.25,87.5766
90,158662.8125,3911223.75,66.1583
91,158466.75,3911389.75,59.9556
92,158119.6875,3911543.25,54.0359
93,157917.875,3911671.5,53.2607
94,157692.4375,3911789.0,51.2672
95,157522.6875,3911942.25,46.2854
96,157205.6875,3912079.25,37.1375
97,156851.8125,3912171.75,37.9643
98,156298.1875,3912434.5,22.3862
99,155227.875,3912506.25,26.3619
100,154671.0625,3912640.0,33.1699
101,154152.0,3912411.75,63.3149
102,153898.875,3912516.75,60.5315
103,153485.125,3912550.25,75.0597
104,153128.6875,3912570.75,91.6255
105,152506.625,3912650.0,75.261
106,152039.625,3912665.0,68.1566
107,151573.125,3912820.75,118.8983
108,151213.3125,3912888.5,136.6891
109,147366.25,3913212.0,0.0
110,146451.5,3913298.0,0.0
111,145857.4375,3913416.25,0.0
112,143569.3125,3914438.5,0.0
113,141586.6875,3915052.0,0.0
