,Easting(m),Northing(m),Elevation(m)
0,262968.6563,3839570.75,1223.0
1,261866.2031,3840780.5,1340.0
2,260695.4531,3841912.25,1464.0
3,260051.5469,3842722.0,1662.0
4,259201.0,3843908.0,1706.0
5,257943.0,3844814.0,1428.0
6,256504.0,3845894.0,1295.0
7,254821.0,3847149.0,1153.0
8,252878.0,3848221.0,1001.0
9,250983.0,3849761.0,1280.0
10,249678.0,3850635.0,1275.0
11,248852.0,3851144.0,1015.0
12,248072.0,3851881.0,1167.0
13,246485.0,3853284.0,913.0
14,245449.0,3854660.0,890.0
15,244119.0,3855537.0,759.0
16,241010.0,3856348.0,619.0
17,239154.0,3857420.0,714.0
18,237094.0,3858096.0,610.0
19,235564.0,3859485.0,657.0
20,234496.0,3860074.0,792.0
21,232669.0,3861149.0,862.0
22,231619.0,3862096.0,583.0
23,230429.0,3863872.0,792.0
24,229611.0,3864626.0,1036.0
25,228847.0,3866040.0,695.0
26,228188.0,3866859.0,853.0
27,227550.0,3869232.0,798.0
28,225481.0,3872004.0,1049.0
29,224379.0,3874650.0,856.0
30,223660.0,3877256.0,975.0
31,222836.0,3878259.0,1045.0
32,221338.0,3879429.0,853.0
33,220190.0,3881103.0,732.0
34,219606.0,3882470.0,696.0
35,218599.0,3884467.0,824.0
36,217335.0,3885822.0,610.0
37,214954.0,3888000.0,371.0
38,214156.0,3888735.0,496.0
39,212500.0,3890121.0,699.0
40,211818.0,3891178.0,488.0
41,210499.0,3892455.0,485.0
42,209003.0,3893339.0,488.0
43,207554.0,3894290.0,516.0
44,205739.0,3895834.0,549.0
45,204819.0,3897089.0,610.0
46,204016.0,3897689.0,549.0
47,203033.0,3898925.0,507.0
48,201261.0,3899443.0,592.0
49,200153.0,3900375.0,600.0
50,199254.0,3900958.0,551.0
51,197439.0,3902599.0,480.0
52,195517.0,3905417.0,590.0
53,192792.0,3906197.0,400.0
54,190592.0,3907442.0,597.0
55,189457.0,3907883.0,641.0
56,188303.0,3908189.0,853.0
57,186973.0,3908745.0,732.0
58,185665.0,3909625.0,520.0
59,184310.0,3910538.0,610.0
60,182509.0,3911842.0,417.0
61,180178.0,3913231.0,400.0
62,178787.0,3914462.0,400.0
63,177779.0,3915078.0,390.0
64,176765.0,3916158.0,393.0
65,174398.0,3918088.0,400.0
66,172960.0,3920808.0,326.0
67,172015.0,3922080.0,310.0
68,171707.0,3923654.0,307.0
69,168902.0,3926774.0,321.0
70,168203.0,3927803.0,325.0
71,167600.0,3928609.0,325.0
