,Easting(m),Northing(m),Elevation(m)
0,173935.3438,3908604.8535,385.0
1,174412.5,3908061.1426,323.0
2,174993.5625,3907369.041,254.25
3,175291.5313,3906295.7422,400.0
4,175850.4375,3905441.7969,364.0
5,176796.25,3904474.707,372.0
6,177223.125,3903731.7227,400.0
7,177800.2813,3902719.6953,398.0
8,178071.8438,3902246.5586,358.0
9,178574.5313,3901850.6016,399.0
10,179171.4375,3901098.7383,348.0
11,179637.125,3900285.8047,348.0
12,180251.0625,3899165.3125,200.0
13,180980.7188,3897900.5313,174.0
14,181827.75,3896826.5625,280.0
15,182538.5,3895839.3398,268.0
16,183121.5625,3894938.3516,242.0
17,183909.25,3894064.5,208.0
18,184961.25,3892437.5234,200.0
19,186132.4063,3891357.1211,200.0
20,187144.625,3890242.6875,344.0
21,188003.0938,3889311.0273,393.0
22,188723.4063,3887966.4297,383.0
23,189070.7813,3886974.3906,401.625
24,189406.5625,3886044.9492,451.0
25,189886.9063,3885291.8164,351.375
26,190229.2188,3884486.6719,280.0
27,191414.6563,3883288.2266,280.0
28,191778.5625,3882739.7188,280.0
29,192544.7813,3881249.793,200.0
30,193241.7188,3879809.8906,200.0
31,193783.4688,3878430.6484,285.0
32,194267.1875,3877167.8047,304.0
33,194854.0,3875259.2578,332.0
34,195229.875,3874045.6484,304.0
35,195560.4688,3872984.0156,316.0
36,196149.4375,3871892.3672,242.875
37,196483.4375,3870706.7656,193.0
38,196792.3125,3869410.8203,151.0
39,197128.0625,3868496.7891,121.0
