,Easting(m),Northing(m),Elevation(m)
0,173935.3437,3908604.8437,385.0
1,173128.125,3910166.625,494.0
2,172257.7812,3911341.5625,332.0
3,171448.2813,3912800.375,320.0
4,170715.7813,3914177.125,202.0
5,170161.7812,3914422.6875,344.0
6,168958.3437,3915945.625,400.0
7,168170.5938,3917169.25,431.0
8,167047.125,3917730.9375,400.0
9,166382.9375,3918398.875,400.0
10,165088.9687,3919113.0625,471.0
11,163743.4375,3920235.5625,489.0
12,162833.1875,3921350.8125,440.0
13,161689.3125,3922485.5937,528.0
14,160648.4688,3924201.4062,538.0
15,159598.8437,3925152.2813,481.0
16,158750.5625,3925387.2812,400.0
17,157875.6562,3926084.5313,339.0
18,157171.1875,3927346.7188,294.0
19,156882.6875,3927634.25,372.0
20,155265.3438,3928956.0313,386.0
21,154505.9375,3929446.375,0.0
22,152736.4375,3931120.25,0.0
23,151158.25,3933750.625,0.0
24,150536.5,3934468.0,0.0
25,149197.375,3935615.8125,0.0
26,148719.125,3936667.9375,0.0
27,147427.875,3938772.25,0.0
28,145849.625,3940254.8125,0.0
29,143554.0625,3943315.625,0.0
30,142215.0,3944128.625,0.0
31,140541.125,3944128.625,0.0
32,139154.1875,3944606.875,0.0
33,137480.3125,3945706.8125,0.0
34,135423.875,3947619.8125,0.0
35,132697.875,3949724.125,0.0
36,128776.25,3951732.75,0.0
37,126289.3125,3952689.25,0.0
38,124089.375,3953932.6875,0.0
