,Easting(m),Northing(m),Elevation(m)
0,224552.625,3853223.25,822.1375
1,223649.0,3853632.75,925.6649
2,220909.25,3854632.0,936.9843
3,218406.5,3856691.75,622.0354
4,217585.25,3857479.25,550.5966
5,216405.75,3858876.75,251.2954
6,215510.1875,3860712.75,519.9511
7,214032.1875,3863285.5,476.5997
8,213637.625,3864556.25,277.3066
9,213543.8125,3865143.25,287.3073
10,213242.1875,3865938.75,304.6533
11,212987.1875,3866424.0,309.5694
12,212692.625,3867413.25,320.9584
13,212090.75,3868210.25,378.4683
14,211870.0,3868747.0,434.3253
15,211608.8125,3869299.5,484.4604
16,211179.5,3870215.5,668.4252
17,210554.875,3870873.0,617.436
18,210130.4375,3871530.75,637.7003
19,209240.0625,3873164.25,675.2973
20,208738.375,3874041.0,662.4559
21,208362.25,3874707.25,626.3425
22,207421.875,3875700.25,623.609
23,206816.1875,3876633.0,552.1051
24,206232.75,3877680.0,524.4045
25,205914.3125,3878259.0,420.1224
26,205460.125,3879132.5,327.5776
27,205122.8125,3879623.25,287.1682
28,204160.1875,3881207.25,264.5052
29,203864.375,3881812.0,371.9561
30,203217.25,3882445.25,375.198
31,202651.375,3883826.75,329.3551
32,202154.0,3884448.5,320.4543
33,201664.6875,3884864.5,313.1005
34,201599.5,3885643.0,364.5866
35,201023.4375,3886515.75,312.4869
36,200892.5,3887169.75,301.7559
37,200511.875,3887619.5,360.9894
38,200065.625,3888812.5,402.355
39,199616.0,3889346.5,423.9425
40,198969.625,3890375.0,375.5082
41,198706.0,3891091.25,365.4958
42,198165.5625,3892121.25,319.6793
43,197736.625,3893046.5,430.7227
44,197582.25,3893738.75,410.5036
45,197357.5625,3894597.5,470.7946
46,196961.125,3895184.75,393.9115
47,196671.8125,3895734.25,278.8363
48,196071.0,3897043.5,360.1756
49,195794.0,3897624.25,328.8976
50,195440.9375,3898758.25,283.4759
51,195016.3125,3899821.5,315.797
52,194776.0625,3900352.75,289.3489
53,194547.375,3900883.75,311.5002
54,194132.75,3901761.0,322.4282
55,193474.8125,3902811.0,437.804
56,193013.75,3903355.5,495.8394
57,192623.6875,3903881.5,484.7021
58,192251.0,3904303.5,474.6976
59,191995.9375,3905028.5,496.3569
60,191680.4375,3905866.25,610.2112
61,190499.6875,3906860.75,622.2048
62,189815.9375,3907137.25,679.7638
63,188857.875,3907384.5,832.7675
64,187581.4375,3908069.5,768.0114
65,187135.0,3908307.0,630.1807
66,186218.3125,3908925.5,525.665
67,185526.375,3909534.25,544.7181
68,184772.8125,3909967.5,519.4602
69,184212.4375,3910191.5,551.5422
70,183870.9375,3910743.75,516.4654
71,182984.6875,3911411.5,419.9044
72,182521.625,3911782.5,414.6287
