,Easting(m),Northing(m),Elevation(m)
0,182404.9375,3911909.0,410.9417
1,181791.875,3912721.125,403.0312
2,181273.6875,3913598.6875,396.0142
3,180675.4375,3914420.625,390.7495
4,180037.3125,3915213.6875,383.4003
5,179430.9375,3916026.375,376.7872
6,178932.6875,3916893.375,367.161
7,178367.8125,3917740.75,347.3897
8,177812.0625,3918594.75,368.4583
9,177241.875,3919439.0,376.6274
10,176565.25,3920194.4375,357.5196
11,176036.125,3921063.8125,344.2495
12,175547.375,3921956.25,337.8663
13,175050.0,3922845.3125,333.5068
14,174574.5625,3923744.75,324.3088
15,174118.5,3924655.125,309.1971
16,173761.5,3925606.625,307.821
17,173327.1875,3926528.0625,297.2445
18,172942.875,3927471.625,291.7691
19,172525.0,3928400.8125,274.2736
20,172106.5625,3929329.8125,274.9729
21,171731.625,3930276.9375,288.2544
22,171443.6875,3931247.9375,294.7802
23,171307.6875,3932254.0,337.644
24,171073.4375,3933242.25,357.4025
25,170777.125,3934212.0,342.1572
26,170565.5,3935128.625,357.0239
27,170318.0,3936086.875,328.9666
28,169778.6875,3936949.25,310.0675
29,169196.3125,3937784.8125,323.3119
30,168771.375,3938701.375,307.2138
31,168483.0625,3939676.875,287.9752
32,168215.75,3940654.1875,292.8095
33,167874.625,3941610.5,268.4744
34,167475.9375,3942542.5,285.0674
35,166967.4375,3943425.125,277.097
36,166586.9375,3944361.625,231.1877
37,166268.0625,3945328.6875,217.2908
38,165904.8125,3946281.125,219.4318
39,165559.3125,3947239.0,242.3242
40,165012.0,3948088.625,259.5307
41,164520.875,3948980.25,292.8153
42,164019.375,3949864.875,324.5731
43,163386.375,3950658.6875,373.198
44,162662.125,3951371.1875,347.0613
45,161897.5,3952042.8125,355.4165
46,161216.0,3952799.9375,353.3894
47,160533.9375,3953557.3125,364.5089
48,159775.625,3954237.4375,356.6747
49,158995.8125,3954876.75,374.9548
50,158265.75,3955580.25,292.1329
51,157543.3125,3956295.25,328.9994
52,156886.875,3957065.125,385.5656
53,156343.5625,3957923.125,411.7943
54,155712.9375,3958709.8125,336.5247
55,155009.75,3959443.8125,376.0404
56,154392.5625,3960243.3125,393.5184
57,153939.875,3961141.4375,357.231
58,153577.9375,3962062.75,370.541
59,153125.5625,3962961.1875,243.0518
60,152513.1875,3963772.0,282.5782
61,151877.6875,3964562.875,210.1923
62,151261.625,3965347.75,346.8023
63,150729.75,3966208.375,318.3402
64,150163.625,3967037.25,319.8091
65,149423.6875,3967715.625,240.827
66,148653.875,3968381.5,239.7921
67,147968.0,3969135.3125,237.0
68,147331.125,3969919.875,237.0
69,146833.875,3970804.0,260.4928
70,146350.5625,3971697.0,338.4647
71,145859.125,3972588.75,358.7015
72,145367.1875,3973476.75,379.7368
73,144817.5625,3974328.5,387.0504
74,144268.25,3975182.875,356.9558
75,143622.0625,3975959.75,304.1043
76,143053.75,3976802.3125,344.4925
77,142500.3125,3977657.875,341.3979
78,141931.625,3978502.5625,384.9682
79,141423.25,3979380.6875,392.6803
80,140918.0625,3980259.8125,344.9416
81,140437.125,3981153.0,347.5783
82,139952.875,3982048.1875,401.6016
83,139433.5,3982914.9375,491.7058
84,138869.0,3983743.875,486.4057
85,138649.0,3984732.0,563.4266
86,138155.8125,3985606.0625,568.8865
87,137872.125,3986580.625,562.0302
88,137407.5,3987464.75,500.1617
89,136748.1875,3988234.75,511.1322
90,136269.6875,3989115.1875,502.7476
91,135949.6875,3990076.75,506.3048
92,135543.8125,3991008.8125,542.4475
93,135049.875,3991897.9375,531.2432
94,134517.4375,3992766.8125,560.3948
95,133978.1875,3993629.0,526.6518
96,133435.0,3994480.75,475.6528
97,132839.6875,3995297.9375,421.507
98,132158.75,3996017.625,369.6482
99,131570.1875,3996839.25,441.1687
100,131028.125,3997675.625,406.7928
101,130551.25,3998568.3125,377.6279
102,129954.8125,3999390.375,415.154
103,129442.25,4000267.4375,400.0341
104,128795.125,4001014.6875,433.3241
105,127969.125,4001594.0,380.7997
106,127457.875,4002459.125,340.8855
107,127022.375,4003364.0625,224.7864
108,126501.625,4004237.6875,292.7946
109,125940.625,4005084.875,362.2577
110,125287.0625,4005865.625,406.8899
111,124543.9375,4006528.4375,251.4333
112,123857.625,4007267.5625,290.469
113,123340.25,4008112.125,348.6085
114,122973.5625,4009027.75,207.314
115,122351.1875,4009811.75,261.1438
116,121685.375,4010567.0,295.3001
117,121063.625,4011365.25,397.8145
118,120470.5625,4012192.6875,415.8362
119,119872.1875,4012991.625,255.1729
120,119269.5625,4013795.6875,400.6062
121,118628.8125,4014553.375,569.7244
122,118022.5625,4015350.0,397.6856
