,Easting(m),Northing(m),Elevation(m)
0,262533.0937,3860809.75,914.0
1,261386.9219,3861620.75,884.0
2,259490.7031,3861426.0,871.0
3,257830.4531,3861722.75,853.0
4,255891.2969,3862792.0,884.0
5,254872.3437,3862998.0,862.0
6,253215.8281,3864504.75,774.0
7,252665.1406,3865388.5,784.0
8,250882.0781,3866118.0,852.0
9,248952.7031,3867400.5,792.0
10,247046.9375,3867534.5,796.0
11,245274.3125,3868115.25,863.0
12,242357.25,3869294.5,850.0
13,240483.0,3869447.75,898.0
14,239174.75,3869546.25,896.0
15,237878.75,3870062.5,914.0
16,236501.5625,3871106.5,890.0
17,235709.625,3872043.5,853.0
18,234252.1875,3872428.5,791.0
19,232792.6875,3873569.0,821.0
20,231878.75,3874687.75,758.0
21,230945.9375,3875537.25,778.0
22,229641.5,3877215.75,802.0
23,228780.2812,3878051.5,732.0
24,227345.125,3879059.75,795.0
25,226046.125,3880887.5,683.0
26,224759.9375,3882615.5,709.0
27,223040.625,3883918.5,714.0
28,222860.7813,3885466.5,597.0
