,Easting(m),Northing(m),Elevation(m)
0,245165.2813,3892845.5938,662.0
1,244609.5625,3893195.625,659.0
2,244033.4688,3893586.625,654.0
3,243271.9688,3894080.7812,662.0
4,242613.4063,3894595.375,660.0
5,241728.8438,3895192.0938,658.0
6,240906.375,3895891.2188,656.0
7,240001.4688,3896467.3125,656.0
8,239487.9063,3897042.5312,656.0
9,239035.875,3897720.625,666.0
10,238419.2812,3898275.5625,671.0
11,237494.3125,3898871.7188,827.0
12,236624.75,3899414.5312,796.0
13,236031.4375,3899660.0625,792.0
14,235028.9375,3900007.875,849.0
15,234005.9375,3900560.2813,665.0
16,233269.4063,3901214.9687,665.0
17,232410.0937,3901685.5313,665.0
18,230773.3438,3902544.8437,665.0
19,229238.875,3903138.1562,665.0
20,227928.3125,3903512.1875,665.0
21,226877.0938,3903772.75,634.0
22,225675.5,3904079.0937,634.0
23,224898.5312,3904385.9063,624.0
24,223972.2188,3904926.5,605.0
25,223287.2812,3905499.625,603.0
26,222416.7813,3906575.0625,635.0
27,221840.8125,3907062.5625,640.0
28,220833.4687,3907890.0,600.0
29,219440.4688,3908899.875,586.0
30,218784.5625,3909484.9687,584.0
31,218002.375,3910310.3438,515.0
32,217490.0,3910832.8125,520.0
33,216874.1562,3911044.5938,513.0
34,216025.0313,3911376.3125,499.0
