,Easting(m),Northing(m),Elevation(m)
0,272966.875,3869582.5,849.0
1,271240.3125,3870283.25,787.0
2,268498.6563,3870187.75,730.0
3,267325.7812,3870434.75,731.0
4,265932.6875,3870960.5,730.0
5,264312.5313,3871360.25,730.0
6,263079.8125,3871598.25,730.0
7,261401.0781,3872532.75,715.0
8,260421.5469,3872805.25,714.0
9,257280.1719,3873933.25,669.0
10,255832.4531,3874289.0,667.0
11,253359.2656,3873527.0,609.0
12,251450.5,3873634.75,609.0
13,250152.7187,3874440.75,617.0
14,247741.875,3875867.0,641.0
15,246632.7813,3877487.5,725.0
16,245085.6875,3878563.75,677.0
17,244234.5625,3879258.75,703.0
18,243335.375,3879922.0,669.0
19,242821.875,3881049.25,671.0
20,241882.5313,3882815.0,746.0
21,241508.0,3884129.0,753.0
22,240890.75,3885428.5,849.0
23,240201.9062,3886573.5,914.0
24,238147.75,3888751.75,935.0
25,237086.2188,3891075.5,913.0
26,236447.6875,3892023.0,975.0
27,235599.9687,3892617.0,1034.0
28,234326.2188,3893845.5,955.0
29,233913.125,3895057.75,853.0
