,Easting(m),Northing(m),Elevation(m)
0,230468.4063,3893062.3125,827.0
1,229219.3125,3894707.0312,822.0
2,227962.9375,3895978.0625,792.0
3,226751.875,3897088.0938,792.0
4,225975.1875,3898399.8125,732.0
5,225067.5937,3899697.0938,723.0
6,224192.2812,3901090.3125,620.0
7,223099.8125,3902269.0938,606.0
8,222226.8438,3904077.25,598.0
9,221269.6875,3905290.0,600.0
10,220081.7812,3906745.4063,572.0
11,219187.4687,3907871.9062,591.0
12,218175.6563,3909306.4688,520.0
13,217277.1562,3910375.3438,509.0
14,215895.5313,3911488.8125,504.0
15,215586.0625,3912129.5,512.0
16,214709.5625,3913528.0938,491.0
17,213952.75,3914737.5625,491.0
18,213922.9687,3915519.5938,479.0
19,214144.1875,3916413.875,482.0
20,214227.5,3917597.4687,496.0
21,213622.25,3918746.9375,516.0
22,213325.4375,3919593.9375,520.0
23,213378.5625,3921510.5312,490.0
24,213268.0625,3922137.0625,472.0
25,212718.5,3923745.4062,477.0
26,212193.5625,3925589.6562,448.0
27,211763.0,3927172.9062,434.0
28,210690.875,3929264.4375,511.0
29,209542.0,3931117.9063,511.0
30,208337.4688,3933185.4062,453.0
31,207206.4062,3935173.3438,406.0
32,207206.875,3936425.1563,404.0
33,206985.5312,3938065.7813,397.0
34,206006.1875,3939703.5625,427.0
35,205597.8438,3941144.7187,543.0
36,204763.875,3942905.25,563.0
37,203816.125,3944945.9062,646.0
38,203195.1875,3946806.9375,547.0
39,203126.0312,3948039.7812,497.0
40,203232.375,3949669.5625,579.0
41,203169.4063,3951465.5938,568.0
42,202909.2187,3952983.375,610.0
43,201785.6562,3955443.4688,467.0
44,201261.3438,3956799.5,336.0
