,Easting(m),Northing(m),Elevation(m)
0,217263.875,3852029.75,654.1859
1,218056.1563,3851299.2813,591.0
2,218392.9063,3850702.3359,461.0
3,218790.8438,3850181.9219,544.0
4,219169.0625,3849542.0313,532.0
5,219585.4063,3848902.4844,536.0
6,220094.0313,3848212.2109,511.0
7,220673.5313,3847610.4688,641.0
8,221322.3125,3847034.0078,548.0
9,221739.1563,3846951.2266,487.0
10,222292.125,3846596.0313,470.0
11,222480.0313,3846089.9375,487.0
12,222892.9375,3845651.2656,609.0
13,223534.0,3845199.625,521.0
14,223819.5625,3844958.2266,438.0
15,224062.3438,3844219.5781,439.0
16,224343.7188,3843606.9844,487.0
17,224652.3125,3843358.4141,536.0
18,224950.7188,3843145.8516,499.0
19,225335.1875,3843196.2109,471.0
20,225979.5,3843007.6328,479.0
21,226847.0,3842471.7734,555.0
22,227350.2813,3842000.8203,635.0
23,227540.375,3841777.5,609.0
24,227896.5313,3841858.7734,615.0
25,228495.0313,3841794.0859,487.0
26,229153.1875,3841258.3672,552.0
27,230025.6563,3840921.625,418.0
28,230762.9063,3840322.0391,414.0
29,231535.7188,3839685.4766,548.0
30,232321.5938,3839253.2422,455.0
31,232813.0313,3838815.5234,408.0
32,233402.1563,3838719.375,482.0
33,234595.5,3838713.8359,639.0
34,235013.6563,3838702.6719,568.0
35,235615.5938,3838501.4609,609.0
36,236103.7813,3838116.0938,609.0
37,236691.1563,3837534.1172,579.0
38,237182.5938,3836955.9922,610.0
39,237658.0,3836144.9688,426.0
40,237826.9375,3835314.875,361.0
41,237981.2188,3834851.5469,402.0
42,238210.0313,3834340.0859,472.0
43,238690.375,3833905.0469,443.0
44,238986.75,3833199.8281,425.0
45,239183.3125,3832715.2422,426.0
46,239104.0,3832482.5547,462.0
47,238789.2188,3832113.8672,467.0
48,238886.1563,3831558.1172,425.0
49,238827.1563,3831027.3516,451.0
50,238926.6875,3830421.6719,479.0
51,239121.4375,3829900.1875,447.0
52,239501.375,3829165.8516,441.0
53,239807.5313,3828609.6953,440.0
54,240012.7188,3828450.2109,548.0
55,240459.9063,3827872.2656,416.0
56,241138.2188,3827733.4219,548.0
