,Easting(m),Northing(m),Elevation(m)
0,163551.4375,3883395.25,-35.7326
1,162566.3125,3885657.25,-40.0711
2,161600.625,3887128.0,-42.2197
3,160767.625,3888247.75,-45.1436
4,160265.5,3889107.5,-44.5454
5,160052.875,3889906.5,-42.9787
6,159455.625,3890819.5,-41.9044
7,158324.625,3891753.5,-42.6233
8,156387.8125,3893214.0,-49.2637
9,154867.375,3894114.5,-47.6326
10,153250.1875,3895019.25,-40.0342
11,152269.75,3896047.0,-46.0909
12,150765.5,3897343.25,-47.8414
13,149729.4375,3898176.0,-58.638
14,148672.0,3898466.0,-66.3897
15,147531.375,3899105.5,-72.8378
16,147071.6875,3899766.75,-70.6999
17,145687.8125,3901022.5,-74.0872
