,Easting(m),Northing(m),Elevation(m)
0,644574.9219,3755708.375,325.0
1,641955.1563,3755089.1562,328.5
2,638478.0,3754184.1406,333.062
3,635953.4844,3753707.8125,362.0
4,633407.7187,3753457.1406,375.0
5,628072.8906,3753647.6719,413.312
6,623902.5313,3754231.7812,461.25
7,620499.3594,3753695.2969,490.0
8,617069.8437,3753600.0313,509.625
9,612306.6094,3753314.25,529.312
10,608638.9375,3753504.7656,547.062
11,604593.5,3752812.75,623.333
12,601225.875,3752680.0,697.667
13,597858.25,3752547.25,772.0
14,593920.5625,3752266.3281,974.875
15,591300.7812,3752361.5938,974.0
16,588728.625,3752028.1719,1012.0
17,585167.4375,3751950.0,1063.0
18,582822.2344,3751837.6406,1350.0
19,580059.5625,3751790.0156,1326.0
20,576582.4063,3751647.1094,1090.06
21,572327.375,3751651.375,925.5
22,567798.5,3751950.0,756.0
