,Easting(m),Northing(m),Elevation(m)
0,481179.125,3796010.5781,1432.0
1,480161.3984,3795787.1406,1579.0
2,479196.1719,3795272.2188,1561.9375
3,478287.2187,3794905.7031,1451.0
4,477325.2031,3794774.9219,1246.0
5,476094.8281,3795048.2031,1193.0
6,475061.8867,3795280.3125,1193.0
7,473985.2578,3795269.3906,1151.0
8,472664.4766,3795572.5313,1067.0
9,471977.125,3795928.9375,1031.0
10,471240.5039,3795954.4688,1006.0
11,470244.5273,3795386.6406,990.0
12,469376.6914,3794810.3125,1104.0
13,468752.8008,3794695.6094,1111.0
14,467357.875,3794017.375,1092.3423
