,Easting(m),Northing(m),Elevation(m)
0,493949.0234,3807107.125,1125.0
1,492968.9375,3806511.0469,1348.0
2,492160.2734,3806168.625,1401.0
3,491200.0625,3805675.7813,1452.375
4,490286.7031,3805728.0156,1362.5
5,489655.7813,3805598.375,1270.375
6,488939.6562,3804935.2969,1344.75
7,488190.1406,3804287.3906,1263.0625
8,487500.8125,3803504.7344,1331.125
9,486605.5469,3802819.3281,1409.0
10,485676.6094,3801917.9219,1383.4375
11,484732.625,3801137.3437,1298.3125
12,483940.4219,3800167.0156,1141.0
13,483026.8672,3798794.7969,1304.4375
14,482067.5469,3797227.875,1314.9375
15,481216.8125,3795673.9687,1409.0
16,480608.3125,3794799.8125,1468.0
17,480162.6562,3794036.1094,1480.0
18,479578.2031,3793140.2344,1450.0
19,478780.0703,3792016.5938,1669.6875
