,Easting(m),Northing(m),Elevation(m)
0,480064.7813,3793887.4062,1478.0
1,478323.5781,3793059.4219,1562.375
2,476990.0,3792699.4844,1491.0
3,475572.4687,3792396.4531,1286.8125
4,474695.2891,3792466.1094,1222.25
5,473603.3984,3792478.3438,1219.0
6,471635.4883,3792597.8594,1049.0
7,470030.2773,3793168.7969,1024.0
8,468574.0898,3793712.4687,990.0
9,467166.6758,3794031.8125,1044.5415
10,466322.6289,3793992.4844,1046.375
11,465331.0938,3793934.125,1188.625
12,463362.6133,3793768.4531,1383.0625
13,461563.3125,3794078.0313,1408.0
14,459390.9805,3794472.9687,1099.0
15,458176.9805,3795263.1562,957.0
16,456688.2422,3796112.5312,910.1875
