,Easting(m),Northing(m),Elevation(m)
0,561085.875,3752709.75,490.0
1,561516.0,3754277.0,774.0
2,561322.75,3755668.5156,909.6875
3,560887.9375,3757749.3906,1046.875
4,560825.8125,3759706.0469,1172.4375
5,560794.7656,3761973.2656,1254.6875
6,560701.5937,3763836.7344,1324.125
7,559956.2031,3764768.4844,1402.0
8,559303.9844,3765731.2656,1350.6875
9,559490.3437,3766383.4844,1297.25
10,558838.125,3768029.5469,1244.875
11,558434.375,3769365.0469,1192.5
12,557937.4375,3770917.9375,1142.0
13,557129.9375,3772719.2969,1087.75
14,556601.9531,3774085.8438,1035.5625
15,555763.3906,3775762.9687,983.0
