,Easting(m),Northing(m),Elevation(m)
0,544080.9063,3795933.1563,1274.6875
1,543628.5469,3796183.2031,1266.0
2,543327.4063,3796222.4375,1268.875
3,543043.0781,3796380.0469,1269.6875
4,542605.3594,3796421.25,1274.0
5,542300.9688,3796740.7812,1269.125
6,541803.4687,3796985.9375,1269.3125
7,541467.0625,3797151.7969,1224.75
8,541244.8437,3797316.1875,1219.4375
9,540873.375,3797304.4687,1204.1875
10,540528.0625,3797557.25,1158.0
11,540201.9844,3797822.0,1140.0
12,539847.3984,3798045.9531,1096.4375
13,539416.7656,3798147.6875,1099.3125
14,538954.5469,3798153.5625,1109.8125
15,538481.0391,3798092.9219,1094.5
16,538109.9375,3797862.2031,1115.5625
17,537826.6484,3797898.3906,1122.9375
18,537406.6484,3797956.5156,1141.3125
19,537024.6328,3798137.3281,1119.875
20,535913.3125,3799165.1875,1053.0
21,535614.5156,3799377.4219,1041.3125
22,535181.8672,3799400.5625,1022.1401
23,534770.8516,3799397.8594,1041.0
24,534539.4922,3799559.8906,1031.3125
25,534298.25,3799638.3594,1039.0
26,534122.4453,3799496.1719,1077.0
27,531186.0703,3799362.6719,1142.0
28,530722.2734,3799364.5781,1173.0
29,530603.3437,3799040.5781,1235.0625
30,530285.9609,3798743.75,1292.0625
31,529657.9922,3799008.9219,1247.125
32,529141.3281,3799209.1562,1247.0
33,528397.6719,3799305.5156,1171.0
34,527513.4687,3799520.125,1158.0
35,526907.3359,3799669.9375,1246.9731
36,526188.1719,3799635.3906,1216.0
37,525802.3125,3799895.4375,1314.6274
38,525441.4844,3799985.625,1314.6274
39,524990.4609,3799918.0,1337.1797
40,524674.7344,3799692.4375,1292.0752
41,524263.4062,3799321.5312,1278.4375
42,523885.8672,3799323.8906,1285.3125
43,523252.2969,3799298.625,1299.625
44,522836.1797,3799160.4531,1340.0
45,522356.3906,3799082.0469,1337.3125
46,521741.2734,3798922.2656,1341.3125
47,521214.4766,3799297.5312,1358.125
48,520702.3594,3799538.8125,1398.0
49,519984.0234,3800008.1875,1404.834
50,518864.8438,3800626.4375,1540.0
51,518145.7969,3800798.9688,1524.0
