,Easting(m),Northing(m),Elevation(m)
0,512193.6016,3802813.9375,2096.1252
1,511715.6094,3802865.875,2000.5262
2,510807.4297,3802969.8125,1952.728
3,510090.4375,3802917.875,1857.1292
4,508967.3594,3802976.1719,1719.125
5,508248.6094,3802531.2187,1665.9375
6,507358.7188,3802462.7656,1754.5625
7,506218.6953,3802502.125,1665.9337
8,505287.1484,3802540.2031,1343.0
9,503972.125,3802762.0,1426.9349
10,503172.7266,3803495.875,1323.75
11,501848.25,3803352.6563,1570.3125
12,500727.0391,3804035.875,1258.0
13,499717.9922,3803801.25,1426.9349
14,498857.6016,3804217.0,1331.3359
15,497997.2188,3805072.375,1379.1367
16,496337.7891,3806022.3281,1189.375
17,494947.0781,3808252.0781,1039.8125
18,494158.8125,3808923.4063,1022.25
19,493329.7969,3809480.3281,1017.0
20,492410.0156,3809668.0937,999.0
21,491713.8906,3810054.2188,992.0
22,490331.4844,3809991.9687,995.8125
23,489106.5469,3809777.25,1283.5377
24,488575.7969,3810173.7812,1027.8125
25,487577.7187,3810669.2188,1006.75
26,486340.3984,3810494.0,1012.0
27,485212.0313,3810209.1875,988.75
28,483848.8984,3809662.375,989.0
29,482819.7188,3809127.8125,976.0
30,482696.0469,3808229.0625,995.0
31,482032.2578,3807646.6875,1331.3359
32,481491.2578,3807028.1094,997.3125
33,481219.6719,3806139.6875,1570.3347
34,480970.0938,3804927.0781,1618.125
35,480866.9609,3803222.0625,1126.0
36,479034.4844,3802644.0938,970.875
37,478603.6562,3801517.625,943.0
38,478469.7891,3800813.3906,941.0
39,477791.1875,3799944.1563,988.125
40,477410.4297,3799118.2812,1010.0
41,476966.3281,3798621.8438,997.5625
42,476607.3906,3797962.5313,972.4375
43,475725.9063,3797734.9375,975.25
44,474847.1562,3797402.2344,975.6875
45,473667.3789,3797461.5,1187.9387
46,472925.7617,3797394.8906,956.75
