,Easting(m),Northing(m),Elevation(m)
0,549303.3438,3775533.2187,1036.0
1,548625.3906,3774799.4219,1041.0
2,548277.25,3774264.9688,1095.0
3,547759.2969,3774051.2031,1082.0
4,547010.625,3773603.4062,981.0
5,546320.7187,3773168.2656,921.0
6,545948.4688,3772733.0781,912.0
7,545500.9844,3772007.6406,877.0
8,545114.4063,3771168.2969,888.0
9,544589.125,3770852.7812,820.0
10,543598.4844,3770315.875,823.0
11,542535.6562,3769617.5313,862.0
12,541601.6719,3768955.875,880.0
13,540709.4375,3768341.6094,850.0
14,540135.4219,3767758.7813,810.0
15,539839.0156,3767231.0938,777.0
16,538760.4688,3766512.7344,842.0
17,537778.2031,3765994.4844,790.0
18,536568.4219,3765335.9062,793.0
19,535632.0312,3764500.9062,915.0
