,Easting(m),Northing(m),Elevation(m)
0,606747.8437,3772700.3594,842.0
1,605265.5938,3772644.4375,828.9375
2,603867.2187,3772700.3594,814.0
3,602301.0625,3772812.2344,793.0
4,600930.6562,3773091.9063,773.75
5,599532.3125,3773567.3437,751.9375
6,598050.0469,3773958.8906,731.1875
7,596577.5312,3774305.6875,709.0
8,595169.4375,3774741.9687,689.0
9,593702.5937,3775425.0625,667.0
10,592265.125,3775984.75,646.0
11,590750.6094,3776392.0313,655.75
12,588792.9062,3776587.8125,665.5
13,587030.9687,3776839.5156,675.25
14,585256.625,3776985.75,685.0
15,583504.5,3777236.0,694.75
16,581745.1719,3777566.6562,704.5
17,580206.9688,3777902.2656,714.25
18,578305.2187,3778042.0938,724.0
19,576327.2812,3778076.9375,726.75
20,574389.7969,3778209.9062,729.5
21,572264.2969,3778489.5781,732.25
22,570642.2031,3778461.6094,735.0
23,568927.2969,3778258.0,754.0
24,567289.8281,3778168.5,773.0
25,565652.375,3778079.0,792.0
26,563904.4062,3777868.3594,822.7143
27,562156.4375,3777657.7187,853.4286
28,560408.4531,3777447.0781,884.1429
29,558406.25,3777418.9531,914.875
30,556868.0469,3777139.2813,945.5625
31,555164.5313,3776815.1406,976.2857
32,553400.1094,3776551.9844,1007.0
33,551582.25,3776216.375,979.0
34,549708.4375,3775824.8437,951.0
35,547191.4063,3774818.0156,923.0
36,546296.4531,3773755.2656,895.0
37,544982.0,3772776.4063,867.0
38,543364.7344,3772215.0625,899.0
39,541765.7656,3771685.6875,931.875
40,540171.6328,3771238.2188,963.875
41,538519.875,3770954.5,995.0
42,536582.4766,3770902.8281,1147.0
43,534645.0859,3770851.1719,1299.0
44,532707.6875,3770799.5,1451.0
45,531334.0,3770511.0625,1400.0
46,529795.8047,3770091.5625,1349.0
47,528412.125,3769477.25,1298.0
48,527069.5625,3768848.9219,1288.3334
49,525768.5312,3768161.8281,1278.6875
50,524384.4375,3767592.25,1269.0
