,Easting(m),Northing(m),Elevation(m)
0,489732.8516,3783478.0937,1458.0
1,489267.2031,3783932.2188,1448.0
2,488669.2656,3784419.9062,1733.0
3,488403.2266,3784882.5937,1755.0
4,487835.4687,3785265.2187,1821.0
5,487107.2578,3785623.1406,1547.0
6,486490.3281,3785689.7031,1460.0
7,485705.9531,3785842.3594,1288.0
8,484725.1563,3786042.7969,1432.0
9,483537.9141,3786162.4063,1336.0
10,482785.7422,3786218.1563,1270.0
11,482033.6094,3786306.4688,1252.0
12,481220.0313,3786274.7656,1256.0
13,480220.125,3786289.6406,1313.0
14,478603.2578,3786376.0469,1347.0
15,477494.4922,3786299.9375,1436.0
16,476345.5,3786079.5,1052.0
17,475135.0078,3786042.7969,1258.0
18,473876.2031,3786072.625,981.0
19,472889.0234,3786279.3281,969.0
20,471853.8281,3786399.5156,972.0
21,470667.0117,3786474.7813,871.0
22,469716.668,3786520.8281,858.0
23,469087.168,3786400.7188,835.0
24,468273.3789,3786248.7969,806.0
25,467320.8477,3786393.7344,827.0
26,466414.6797,3786560.3281,776.0
