,Easting(m),Northing(m),Elevation(m)
0,411529.0547,3904318.7813,523.75
1,408123.6484,3901863.7188,642.875
2,404718.2422,3899408.625,762.0
3,400758.4609,3895686.4375,886.0
4,394897.9844,3892360.25,1027.1875
5,388799.9297,3888400.4688,1167.125
6,382781.0703,3885311.8438,1300.625
7,377237.375,3881748.0312,1443.0
8,371535.2969,3877313.0781,1644.0
9,365391.375,3873431.25,1840.0
10,359576.7656,3871531.8125,1733.0
11,353874.6875,3868601.5625,1626.0
12,348605.1875,3866633.8125,1519.0
13,342945.6875,3863691.4375,1409.375
14,337956.375,3861236.375,1315.0
15,333046.25,3857593.375,1219.375
16,329720.0313,3855534.2969,1380.8125
17,326631.4062,3853792.0,1528.0
