,Easting(m),Northing(m),Elevation(m)
0,372535.875,4056234.625,3205.1409
1,373155.9688,4052514.0,2812.8735
2,373576.7187,4049457.75,2548.759
3,374019.6875,4047730.3125,2460.4658
4,374076.6563,4043404.5,2472.9397
5,373805.0938,4039948.5625,2359.1458
6,373613.7812,4036455.1875,2095.4636
7,373541.4062,4033986.25,2039.4028
8,373516.6563,4031052.0625,2017.1978
9,373657.3125,4027574.9375,1986.9348
10,373684.125,4023791.5625,1987.2861
11,373764.6562,4020115.5625,1910.3292
12,373764.6562,4017244.5,1865.1193
13,373550.7813,4014887.8125,1843.527
14,373225.6875,4013344.1875,2052.6831
15,372393.1563,4009646.5,1991.4626
16,371720.2188,4006123.0625,1902.9615
17,371270.0312,4003323.0625,1820.6497
18,370869.4688,4000818.0,1470.0005
19,370493.7812,3998590.9375,1475.9497
20,370133.625,3995738.9375,1714.8733
21,369646.1562,3992154.0625,1567.5266
22,369220.1562,3988754.6875,1592.6091
23,368793.4688,3985726.0625,1511.0986
24,368483.9687,3982800.75,1469.4103
25,368430.3125,3980641.5625,1385.4379
26,368698.6563,3976957.4375,1496.3654
27,369315.8125,3972771.625,1217.7374
28,370227.3125,3968239.8125,1085.0806
29,370951.8125,3963410.0,1226.6475
30,371327.4375,3961182.875,1129.5398
31,371461.6562,3959304.625,904.3417
32,371440.0937,3956583.875,805.379
33,371264.375,3954499.3125,793.7935
34,371031.0,3953828.5,790.9567
35,370068.5313,3952107.75,782.9501
36,369135.2187,3950153.625,784.0
37,367997.75,3948228.625,784.0
38,367125.7187,3946027.375,784.084
39,366168.875,3943936.0625,766.6928
40,365054.8437,3941136.5,749.2444
41,364145.9687,3939244.375,853.3102
42,363258.3125,3936866.625,1184.8425
43,362782.75,3934742.5625,883.9177
44,362624.25,3933094.0,953.0713
45,362528.6563,3931417.375,956.8426
46,362273.125,3930217.0,1002.7574
47,361605.3125,3928162.75,1072.0746
48,361133.4687,3926600.875,1164.3625
49,360969.9375,3925327.5,1262.8574
50,360745.1563,3922774.0625,1122.9325
