,Easting(m),Northing(m),Elevation(m)
0,332286.375,3867781.25,425.0
1,331668.7187,3867678.25,398.0
2,330604.9375,3867403.75,407.0
3,329472.5625,3867403.75,412.0
4,328237.2187,3867232.25,437.0
5,327001.875,3867335.25,426.0
6,325972.4375,3867644.0,436.0
7,324737.0938,3867438.0,507.0
8,324016.5,3867163.5,519.0
9,323158.625,3867095.0,525.0
10,322129.1563,3866889.0,547.0
11,321168.3437,3866923.5,568.0
12,320550.6875,3867163.5,562.0
13,319864.375,3867644.0,542.0
14,319967.3438,3868261.75,516.0
15,319349.6562,3868742.0,519.0
16,318560.4062,3868810.75,541.0
17,318421.5625,3869027.75,525.0
18,318593.125,3870022.75,483.0
19,318352.9375,3870915.0,465.0
20,317426.4375,3871635.5,487.0
21,316534.25,3872356.25,474.0
22,315573.4375,3872768.0,521.0
23,314578.2812,3873145.5,548.0
24,313034.125,3873626.0,611.0
25,312553.7188,3873728.75,609.0
26,310666.4062,3873934.75,635.0
27,309225.1875,3873934.75,605.0
28,308528.1563,3873774.25,561.0
29,308253.625,3872985.0,487.0
30,307567.3438,3873122.25,555.0
31,306812.4062,3873225.25,757.0
32,306297.6875,3872779.0,673.0
33,306091.7812,3872470.25,637.0
34,305885.9062,3871921.25,606.0
35,304890.7813,3871887.0,792.0
36,304135.8437,3871784.0,907.0
37,303415.25,3871235.0,870.0
38,302660.3125,3870754.5,792.0
39,302351.4688,3870411.5,853.0
40,301493.5938,3870308.5,872.0
41,300875.9375,3869690.75,670.0
42,299537.6562,3868661.25,790.0
43,298714.0937,3868867.25,812.0
44,297684.6562,3869141.75,792.0
45,296620.9062,3869210.25,853.0
46,295934.5938,3869141.75,868.0
47,295282.625,3868833.0,812.0
48,294424.75,3868489.75,912.0
49,293566.875,3868249.5,950.0
50,292331.5313,3868009.25,875.0
51,291576.5938,3868146.5,909.0
52,290478.5312,3867975.0,788.0
53,289483.4063,3867769.25,752.0
