,Easting(m),Northing(m),Elevation(m)
0,399721.3125,3948734.875,-1050.0
1,397617.0,3946725.3125,-910.375
2,395512.6875,3944715.75,-770.75
3,393408.375,3942706.2188,-631.125
4,391304.0938,3940696.6563,-491.5
5,389199.8125,3938687.0938,-351.875
6,387095.5,3936677.5313,-212.25
7,384991.1875,3934668.0,-72.625
8,382886.9063,3932658.4375,67.0
9,380782.5938,3930648.875,206.625
10,378678.3125,3928639.3125,346.25
11,376574.0,3926629.7813,485.875
12,374469.6875,3924620.2188,625.5
13,372365.4063,3922610.6563,765.125
14,370261.0938,3920601.125,904.75
15,368156.8125,3918591.5625,1044.375
16,366052.5,3916582.0,1184.0
17,364912.9688,3915217.75,1643.0
18,362954.9063,3912930.75,1258.5
19,360996.8438,3910643.75,874.0
20,360210.4063,3909664.5,733.0
21,359263.5,3909488.0,688.0
22,357353.5625,3907851.0,733.0
23,356127.7188,3906771.75,699.0
24,355812.8125,3906486.75,747.0
25,355781.75,3906382.75,747.0
26,355764.6563,3906278.0,801.0
27,355652.3125,3905860.75,750.0
28,355411.5625,3905251.0,636.0
29,354765.0,3904603.0,488.0
30,354539.0,3904190.0,483.5305
31,354248.0,3903863.9688,600.7354
32,353355.0,3903364.9688,626.1394
33,352188.0,3903481.0,646.3893
34,350480.0,3902513.9688,725.2508
35,349036.0,3901386.0,787.689
36,347831.0,3900077.0,804.1776
37,345892.0,3899044.0,654.502
38,345134.0,3898552.9688,535.4365
39,343854.0,3897582.0,480.9021
40,342961.0,3897266.0,377.3363
41,342110.0,3897674.0,280.1078
42,341401.0,3897355.0,237.6436
43,340693.0,3896497.9688,207.827
44,338008.0,3894183.0,161.8966
45,337340.9688,3893157.0,174.4937
46,336522.0,3892375.0,182.6564
47,335043.0,3890780.9688,151.5305
48,333459.0,3889722.0,178.0
49,332793.3125,3889111.7188,154.9175
50,332224.0,3888385.0,171.0
51,328076.9375,3885256.9688,211.875
52,324156.5625,3882226.375,119.9106
53,319472.25,3879355.0313,146.7414
54,315453.5313,3878436.4063,336.789
