,Easting(m),Northing(m),Elevation(m)
0,496315.9844,3874616.5,890.0
1,494966.3906,3876662.25,880.6
2,493308.5078,3878693.0,871.2
3,491577.1484,3880451.625,861.75
4,489715.8672,3882476.25,852.375
5,487063.5312,3885093.1875,843.0
6,486037.9687,3886932.1563,865.6875
7,485741.0938,3889284.6563,888.3333
8,484800.2109,3891458.8125,911.0
9,483739.2812,3893545.3125,933.6875
10,481758.875,3895985.4375,956.3125
11,480212.0703,3898342.1563,979.0
12,477842.6563,3900923.75,1015.3125
13,476463.4453,3903434.625,1051.6875
14,475296.418,3906051.5937,1088.0
15,474164.7578,3908385.625,1124.375
16,472467.2656,3910719.6875,1160.6875
17,471158.7812,3912947.6562,1197.0
18,468789.3672,3915069.5312,1128.3125
19,467410.1563,3916979.1875,1057.0
20,464793.1875,3919277.875,988.4375
21,462742.0508,3920975.375,917.0
22,461221.3789,3923309.4375,847.0
