,Easting(m),Northing(m),Elevation(m)
0,578391.9687,3780252.5,670.0
1,576629.8125,3782234.9531,675.625
2,575032.8437,3783859.4531,678.375
3,575253.1094,3784685.4688,681.1875
4,574289.4219,3786475.1719,684.0
5,573848.8906,3789201.0156,686.8125
6,572940.2656,3791761.6719,692.375
7,571976.5781,3794817.9375,698.0
8,570902.7656,3796938.0469,708.25
9,569856.4687,3798810.3437,718.5
10,568617.4375,3800765.25,728.75
11,568094.3125,3802472.3594,739.0
12,566973.3281,3803971.2344,783.625
13,566340.0469,3805540.6562,805.875
14,564735.1875,3807549.75,828.2
15,563421.4531,3808927.3281,871.5
16,562099.8281,3810937.3125,895.125
17,561273.8125,3812176.3281,917.375
18,561111.75,3813945.375,939.7
19,560729.6562,3815123.3125,962.0
20,558861.3125,3817058.8594,953.0
21,556851.3437,3818903.625,944.0
22,554984.7813,3821121.4063,935.0
23,553250.1406,3823131.375,926.0
24,551365.5156,3824981.7344,917.0
25,549300.4687,3826826.5,908.0
26,548033.9219,3829029.2188,962.0
27,546794.8906,3831149.3281,1016.0
28,545445.7344,3832636.1563,1067.875
29,544013.9687,3834701.1875,1139.5
30,542031.5312,3836656.0937,1209.0
31,540642.125,3839274.8437,1100.5
32,540063.9141,3841174.6719,992.0
33,538439.4141,3843129.5781,883.0
34,536759.8516,3845001.875,776.1875
35,535080.2813,3846846.6563,733.5625
36,533345.6484,3849544.9687,693.1875
37,531803.0234,3852396.0313,652.8125
38,530040.8594,3854846.5313,612.375
39,528003.3516,3856718.8437,572.0
40,526296.25,3858563.6094,603.1875
41,524561.6094,3859995.375,634.4375
42,522635.0469,3861679.0469,665.6
43,521505.3516,3863106.7031,696.8125
44,518760.4063,3864658.75,728.0
45,516759.4375,3865112.375,729.5
46,514721.9297,3866103.5937,731.0
47,512574.2813,3867012.2187,755.25
48,510591.8438,3867700.5625,779.5
49,509022.4141,3869875.7344,803.75
50,506737.1016,3872161.0469,828.0
