,Easting(m),Northing(m),Elevation(m)
0,578613.0938,3782621.8438,674.75
1,578009.0938,3784092.7969,681.0
2,577497.9375,3786466.5781,715.125
3,577252.7344,3789533.9531,691.125
4,576734.25,3791461.3594,671.6875
5,576138.9063,3793662.9375,645.375
6,575679.5469,3797135.625,608.0
7,575094.6562,3798581.4219,607.0
8,574261.625,3801008.2031,613.0
9,573352.0,3802535.9844,674.125
10,570981.3437,3804846.1563,791.0
11,569072.1562,3806295.7344,865.4375
12,567960.2656,3807347.0,912.375
13,566864.25,3808777.4844,920.8125
14,566296.7656,3809848.6094,894.5625
15,565056.0312,3811031.9375,931.25
16,563801.5625,3812438.0313,952.3125
17,562539.25,3813313.6406,965.0
18,560725.4531,3815118.1875,977.6875
