,Easting(m),Northing(m),Elevation(m)
0,536489.9063,3828534.1875,1058.0625
1,535790.0391,3829156.1875,1075.0625
2,535102.7734,3829854.8125,1093.0
3,534249.5156,3830703.0937,1177.0
4,533325.8984,3831300.125,1198.1514
5,532453.1094,3831927.6875,1283.3125
6,531515.5,3832730.7344,1333.0
7,530729.1016,3833390.3125,1278.0
8,530248.2813,3834077.125,1299.0
9,529632.6563,3834834.1562,1296.0
10,529098.7344,3835403.875,1288.0
11,527974.6484,3836232.0625,1252.875
12,527090.7187,3836953.375,1236.75
13,525832.2109,3837976.1875,1253.0
14,525047.8906,3838568.125,1262.625
15,524143.9219,3839455.75,1183.125
16,523195.0469,3840238.5,1212.0625
17,522419.4297,3840887.7344,1219.0
18,521531.5,3841754.1875,1158.0
19,520910.8672,3842452.2656,1173.0
20,520329.3203,3842977.5781,1219.0
21,519536.6563,3843665.7031,1219.0
22,518757.2031,3844241.1719,1280.0
23,517807.0781,3844773.875,1259.6875
24,517217.2734,3845282.4688,1222.3125
25,516597.1406,3845731.8125,1188.0625
26,515617.4297,3846674.5156,1097.0
27,514828.8594,3847403.0781,1081.0
28,514208.1641,3848317.8906,1040.4375
29,513747.4844,3848832.75,1052.0
