,Easting(m),Northing(m),Elevation(m)
0,543350.0,3818832.7187,906.0
1,544696.2812,3817370.1719,960.0
2,546150.875,3816241.625,906.0
3,546929.7344,3815120.8125,859.0
4,547725.1406,3814326.9375,872.0
5,549055.8437,3813485.0156,846.0
6,550353.3125,3812435.2813,839.0
7,552090.2187,3811628.3281,818.0
8,553352.75,3810733.9062,746.0
9,554969.9531,3809072.2188,730.0
10,556704.2812,3807606.4531,726.0
11,557970.6406,3805989.9687,727.0
12,559044.7656,3804557.0312,728.0
13,559998.375,3803262.7031,736.0
14,560564.2813,3802160.0469,750.0
15,561344.6875,3800968.5312,764.0
16,562554.6406,3799542.8281,769.0
17,563546.0625,3798011.4531,767.0
18,564251.3125,3795609.3125,779.0
19,565109.1094,3793318.375,795.0
20,565670.5156,3791296.7187,830.0
21,565725.4844,3788828.75,853.0
22,565854.4219,3787255.3281,853.0
23,565424.625,3784236.6875,829.0
