,Easting(m),Northing(m),Elevation(m)
0,545632.25,3889553.5625,657.0
1,544510.7812,3889171.0938,700.0
2,543086.875,3889173.375,711.9375
3,541467.1562,3889148.125,743.0
4,539428.2422,3889156.7813,790.0
5,537423.0,3889144.5312,822.0
6,535494.5313,3889122.875,827.0
7,533526.7734,3889066.0937,791.0
8,531678.9687,3889065.875,786.0
9,529965.4062,3888950.0313,816.0
10,527706.7656,3888908.9688,782.0
11,525680.7344,3888883.0,759.0
12,523520.3047,3888835.3125,716.0
13,520802.5,3888748.3125,670.125
14,519501.2344,3888185.8438,638.0
15,518414.8672,3887378.6875,621.0
16,517376.7422,3886486.0625,587.0625
17,515907.7969,3885332.375,602.0
18,514170.8125,3884041.4063,619.0
19,512349.0,3882550.2812,650.0
20,510876.3594,3881742.375,696.0
21,508929.5781,3880575.8594,779.0
22,507573.9062,3879855.0781,890.0
23,506636.1016,3879452.7187,1049.0
24,506098.7891,3879132.0,1098.0
25,505659.7266,3878359.2344,1042.0
