,Easting(m),Northing(m),Elevation(m)
0,553425.625,3924807.625,1014.0
1,550186.625,3926998.7188,1031.0
2,546872.75,3928173.25,1048.0
3,544191.375,3927637.5625,1040.0
4,540279.1016,3927903.75,1030.0
5,536799.6484,3927987.0,1034.6666
6,533284.1641,3927799.5,1039.3334
7,529768.6875,3927612.0,1044.0
8,525454.0078,3927233.0625,1077.25
9,521139.3281,3926854.125,1110.5
10,516824.6484,3926475.1875,1143.75
11,512509.9688,3926096.25,1177.0
12,509951.375,3926414.5,1128.0
13,506635.3906,3927410.25,1009.0
14,503319.4063,3928406.0,890.0
