,Easting(m),Northing(m),Elevation(m)
0,557827.75,3875934.5,410.0
1,555638.6094,3875361.0312,559.0
2,553756.2344,3875266.9063,635.0
3,552124.8594,3874764.9531,566.0
4,550681.7188,3874294.3594,520.0
5,548767.9844,3873353.1875,489.0
6,546854.25,3872161.0156,491.0
7,545379.7344,3871564.9375,548.0
8,543246.3906,3871031.5938,541.0
9,541583.6406,3870906.1094,536.0
10,539795.3906,3870247.2812,523.0
11,538067.9531,3869758.2031,535.0
12,536360.0781,3869121.0469,538.0
13,535026.7422,3868270.7969,541.0
14,533458.1094,3867455.1094,548.0
15,531826.7266,3866670.7812,550.0
16,530069.8594,3865949.2188,609.0
17,528469.8437,3865196.2812,578.0
18,526085.5234,3864819.8125,569.0
19,524405.0,3864661.0,590.0
