,Easting(m),Northing(m),Elevation(m)
0,578328.6875,3799895.4375,604.0
1,577985.875,3800699.4375,605.0
2,577874.1875,3801922.1875,607.0
3,577593.8125,3803139.6875,608.0
4,576139.8125,3804783.9375,698.0
5,573011.6719,3808686.1875,780.0
6,572713.0469,3809111.6875,790.0
7,571890.4219,3809919.4375,792.0
8,571270.1719,3810834.6875,792.0
9,571059.5469,3811237.6875,814.0
10,570656.5469,3811886.6875,839.0
11,570048.9219,3813269.1875,848.0
12,569619.1094,3814392.1875,898.0
13,569397.7344,3815194.9375,929.0
14,569031.4688,3815815.7187,938.9731
15,569008.9219,3815848.1875,964.0
16,568669.0469,3817125.9375,992.0
17,568358.9219,3817937.9375,1039.0
18,568275.4219,3819391.6875,1094.0
19,567927.9219,3820786.6875,1158.0
20,567502.6094,3823540.9375,1143.0
21,567093.6719,3824869.9375,1071.0
22,564616.5469,3827994.1875,853.0
23,562975.5469,3829712.4375,737.0
24,561961.2969,3831176.1875,661.0
25,560916.2344,3832854.4375,583.0
26,559871.4844,3834241.1875,567.0
27,558968.1719,3835806.1875,564.0
28,558216.6719,3838155.1875,568.0
29,557069.2969,3841959.6875,648.0
