,Easting(m),Northing(m),Elevation(m)
0,531277.4844,3894158.7187,892.0
1,528680.0312,3897073.625,927.0
2,526746.3672,3899122.75,962.0
3,525332.2031,3900594.625,961.375
4,523427.3984,3902384.0,960.75
5,521753.4844,3904317.6563,960.1875
6,520021.8438,3906511.0625,959.5625
7,518347.9297,3908531.3125,959.0
8,516818.3125,3910493.8125,958.375
9,516298.8281,3912167.75,957.75
10,514884.6563,3914014.8125,957.1875
11,510848.5547,3917482.2188,956.0
12,509463.25,3919617.9063,962.5
13,508152.7187,3920791.6875,969.0
14,506720.3516,3923144.875,982.0
15,506004.1719,3924509.0312,920.125
16,503651.0,3927748.9063,863.0
