,Easting(m),Northing(m),Elevation(m)
0,516988.1406,3887048.4375,640.7327
1,515462.75,3890047.8125,761.0515
2,513923.6875,3893553.7188,883.9069
3,512386.9844,3896987.1562,1013.0923
4,511082.4922,3899919.625,1156.7612
5,510838.9688,3903389.9688,1096.3318
6,511420.2187,3905940.3125,1063.2041
7,511523.5,3907391.8125,1027.4856
8,511887.5391,3908824.0312,950.75
9,511483.4922,3910353.6562,946.5
10,511108.3047,3912518.1875,942.25
11,511021.7187,3914220.9687,938.0
12,511137.1641,3915981.4688,933.75
13,510848.5547,3917511.0938,929.5
