,Easting(m),Northing(m),Elevation(m)
0,472186.25,3887268.5313,820.4375
1,473223.2656,3885688.3164,811.5625
2,474260.2813,3884108.1016,802.6875
3,475297.2969,3882527.8867,793.8125
4,476334.3125,3880947.6719,784.9375
5,477371.3281,3879367.457,776.0625
6,478507.1094,3877935.3867,767.1875
7,479741.6484,3876305.793,758.375
8,480950.5625,3874889.1172,749.5625
9,482259.4688,3873418.7109,740.6923
10,483099.6094,3871960.2031,731.8125
11,484136.625,3869984.9375,723.0
12,485618.0703,3868552.8672,714.3125
13,487198.2813,3867219.5625,705.625
14,489074.7891,3866083.7813,696.875
15,490605.625,3864552.9531,688.25
16,492136.4531,3863219.6406,679.5625
17,493568.5234,3862281.3906,670.8125
18,494901.8281,3860948.0859,661.8125
19,496432.6563,3859516.0156,653.5
20,497716.5781,3858232.0938,644.8125
21,499494.3281,3856553.1172,636.0625
