,Easting(m),Northing(m),Elevation(m)
0,506726.1719,3858248.3437,611.125
1,505601.5469,3859170.7187,618.6875
2,504286.1172,3860476.7188,627.125
3,502688.5625,3861817.875,636.0625
4,501521.6641,3863465.3281,644.8125
5,500124.5781,3864776.3281,653.5
6,499118.7031,3865959.7031,661.8125
7,497521.1406,3867281.1562,670.625
8,495887.375,3868436.9063,679.5385
9,494345.75,3869529.5625,688.25
10,492771.3906,3870605.125,696.875
11,491268.2656,3871678.7812,705.625
12,489657.7813,3872806.125,714.3125
13,488423.0859,3874309.2344,723.0
14,487159.125,3875689.7344,731.8461
15,485819.9609,3876912.1094,740.6875
16,484450.5625,3878389.125,749.5625
17,483025.8906,3879777.1875,758.375
18,481605.3828,3881180.625,767.1875
19,480263.3125,3882469.0,776.0625
20,479458.0781,3883864.75,784.9375
21,478062.3281,3885045.7813,793.8125
22,476773.9375,3886602.5625,802.5625
23,476091.5156,3887626.0,811.4375
24,473674.9062,3888489.8438,820.3125
25,472171.7891,3889509.8125,829.1875
26,470445.8828,3891174.4062,838.0
27,469086.3906,3891854.1563,863.1875
28,467289.2539,3892682.875,889.375
29,465837.2344,3893643.375,913.625
30,464829.9453,3894953.7812,938.8125
31,463694.8203,3895955.3437,962.1875
32,462152.1172,3897327.6875,919.0
33,460673.5469,3898445.875,874.0
34,459707.1211,3899629.25,829.0
35,458375.3359,3901105.2813,784.0
36,457086.9531,3902232.625,780.5
37,455669.8125,3902996.0,777.0
