,Easting(m),Northing(m),Elevation(m)
0,540464.375,3776996.4219,1291.9375
1,539790.3984,3778155.5313,1415.8125
2,539355.4062,3778990.3125,1552.9375
3,538970.7578,3779892.7969,1576.0
4,538532.5391,3780661.1563,1575.5
5,538123.8984,3781174.375,1555.5625
6,537707.1797,3781869.8594,1645.0
7,537342.8125,3782699.125,1650.0
8,536966.4453,3783618.0625,1671.0
9,536544.0156,3784271.8125,1706.0
10,535870.7578,3785034.5312,1698.0625
11,535283.1328,3785867.1094,1706.125
12,534614.9375,3786691.3594,1678.0
13,534002.6641,3787555.2187,1707.0
14,533518.2344,3788134.9375,1719.625
15,532997.7266,3788920.7969,1713.0
16,532403.7656,3789814.6094,1694.0
17,531865.0781,3790508.5781,1703.0
18,531269.2656,3791240.0625,1646.0
19,530593.6875,3791936.2031,1692.5625
20,530131.2656,3792520.2812,1693.125
21,529531.4141,3793372.1406,1706.9375
22,529123.7188,3793927.0937,1740.6875
23,528404.3125,3794879.375,1790.8125
24,527678.3438,3795424.5469,1797.25
