,Easting(m),Northing(m),Elevation(m)
0,526607.7344,3796362.0938,1583.75
1,526314.9141,3796764.3906,1551.0625
2,526093.7031,3796965.0625,1550.125
3,525904.9062,3797246.5469,1505.0
4,525393.2969,3797448.8125,1497.0
5,525096.5469,3797589.3594,1492.5625
6,524522.0937,3797769.7188,1481.125
7,524237.5937,3797989.5312,1461.0
8,523940.1094,3798153.2031,1522.0
9,523583.5,3798377.7969,1461.5
10,523297.2578,3798613.5625,1447.75
11,523065.9062,3798921.9688,1413.0
12,522735.8984,3798928.7812,1401.75
13,522125.0781,3798986.0,1351.0
14,521775.5156,3799303.0,1296.0625
15,521627.4062,3799509.2969,1317.0
16,521306.7109,3799769.2344,1319.0
17,521061.7109,3799977.4063,1329.0625
18,520833.3125,3800231.1406,1334.5625
19,520647.5937,3800470.8281,1323.0
20,520339.8281,3800625.7969,1335.0
21,520163.4219,3800856.3281,1341.0
22,519961.6094,3801073.3906,1344.0
23,519704.8594,3801379.4531,1317.75
24,519159.1797,3801531.375,1351.8125
25,518745.0625,3801865.5469,1345.25
26,518559.7813,3802107.7812,1324.1875
27,518368.0469,3802495.3281,1285.0
28,518191.5156,3802810.2969,1281.0
