,Easting(m),Northing(m),Elevation(m)
0,529647.9297,3787590.7344,1963.875
1,528793.3516,3788294.8437,2094.0
2,528310.5,3788694.5469,2138.0625
3,527963.625,3789155.9688,2172.75
4,527507.2266,3789776.4375,2164.625
5,526975.1484,3790398.6719,2114.5625
6,526297.875,3791094.0,2164.0
7,525633.7812,3791704.5469,2012.25
8,525172.5469,3792320.1094,1947.5625
9,524908.75,3792967.7969,1942.0
10,524567.4844,3793543.6562,1969.375
11,524043.3281,3794024.25,1927.6875
12,523128.0781,3794463.7969,1871.0
13,522059.0547,3794767.8906,1767.3125
14,521563.6797,3794987.5781,1733.9375
