,Easting(m),Northing(m),Elevation(m)
0,552920.5,3797389.2187,957.0
1,552474.375,3798635.7188,853.0
2,551751.5,3800158.9688,851.0
3,551030.375,3801171.4688,914.0
4,550647.4375,3802113.7188,912.0
5,549390.6875,3803984.9687,997.0
6,548905.5625,3805336.4688,901.0
7,547730.625,3807380.4688,868.0
8,547484.75,3809009.7187,914.0
9,546487.0,3810724.2187,851.0
10,546375.6875,3811634.4688,891.0
11,545794.375,3812621.2187,860.0
12,544885.6875,3813861.4688,888.0
13,544123.25,3815108.9687,936.0
14,543083.625,3816772.4687,1007.0
15,541870.75,3818504.9687,1008.0
