,Easting(m),Northing(m),Elevation(m)
0,616621.375,3783135.7031,414.0
1,615345.7656,3784962.4687,444.0
2,614269.75,3786111.4219,478.0
3,613485.5625,3787260.375,552.0
4,612482.5,3789412.375,770.0
5,611680.0625,3791217.875,853.0
6,610914.0938,3792950.4375,853.0
7,610093.4063,3794646.5,853.0
8,609163.2969,3796397.2969,852.0
9,608506.75,3798221.0312,826.0
10,607923.1563,3799771.2031,758.0
11,607175.4219,3801540.2344,670.0
12,606300.0312,3803801.6719,557.0
13,605552.2969,3805023.5781,483.0
14,604585.7187,3806573.75,424.0
15,603414.4063,3808170.0781,364.0
