,Easting(m),Northing(m),Elevation(m)
0,605233.4063,3809737.7188,314.0641
1,603251.1719,3811555.125,332.622
2,601379.125,3813785.5,352.8567
3,600002.6562,3815795.5781,372.1295
4,598185.625,3817668.0313,390.8023
5,595267.2813,3819733.3438,410.3806
6,593064.7812,3821605.8281,429.0541
7,590972.4219,3823478.3125,447.7274
8,589210.4688,3825460.875,466.8807
9,587613.7812,3827828.9063,487.8407
10,585934.4687,3830031.75,507.9549
11,584248.0625,3832330.7031,528.75
12,582457.0938,3834455.6563,548.2857
13,580558.5156,3836405.7187,567.8125
14,578686.2188,3838580.8906,587.4375
15,577144.3125,3840563.3438,607.0
16,576318.2969,3842931.25,578.25
17,575602.4063,3845106.4219,549.5
18,575161.875,3847143.9375,520.75
19,574501.0625,3849346.6406,492.0
20,573187.2969,3851623.7813,475.0
21,572636.6094,3854019.2187,458.0
22,572416.3437,3855974.125,446.25
23,572170.8125,3858381.25,434.5
24,572363.4531,3860734.4844,422.75
25,572583.7187,3862909.6563,411.0
26,572611.25,3864726.9062,437.0
27,571647.5625,3866489.0625,450.0
28,570518.6875,3867810.6875,463.0
29,568839.1094,3869545.3281,489.0
