,Easting(m),Northing(m),Elevation(m)
0,569825.5313,3813852.8594,873.9869
1,569619.1094,3814392.1875,898.0
2,569397.7344,3815194.9375,929.0
3,569031.4688,3815815.7187,938.9731
4,569008.9219,3815848.1875,964.0
5,568669.0469,3817125.9375,992.0
6,568358.9219,3817937.9375,1039.0
7,568275.4219,3819391.6875,1094.0
8,567927.9219,3820786.6875,1158.0
9,567502.6094,3823540.9375,1143.0
10,567093.6719,3824869.9375,1071.0
11,564616.5469,3827994.1875,853.0
12,562975.5469,3829712.4375,737.0
13,561961.2969,3831176.1875,661.0
14,560916.2344,3832854.4375,583.0
15,559871.4844,3834241.1875,567.0
16,558968.1719,3835806.1875,564.0
17,558216.6719,3838155.1875,568.0
18,557069.2969,3841959.6875,648.0
