,Easting(m),Northing(m),Elevation(m)
0,583678.375,3808488.8906,728.125
1,582930.8047,3809999.4844,786.1741
2,582408.8438,3810944.0313,833.125
3,581092.4844,3812393.6953,887.25
4,580353.7344,3812665.6094,910.5
5,579832.7188,3813330.3516,936.0
6,579599.6797,3814472.1172,969.1405
7,578858.5313,3815382.0313,924.1681
8,577604.9453,3816510.3203,979.625
9,576688.6875,3817318.7813,1006.125
10,575700.5625,3817947.5938,1035.0
11,574766.332,3818774.0234,1000.625
12,573400.9219,3819959.7734,939.75
13,572700.25,3821361.1172,936.75
