,Easting(m),Northing(m),Elevation(m)
0,532869.3125,3801004.0,962.0
1,531187.375,3803924.1406,956.5
2,529930.0,3806997.7344,951.0
3,528218.5703,3810909.5625,945.5
4,526402.3594,3815589.8125,940.0
5,523852.6719,3818803.0938,964.3125
6,523468.4766,3820689.1562,986.875
7,520674.3125,3823518.2656,1013.0
8,519572.1875,3825892.875,1088.0
9,517914.4844,3828585.25,1167.5
10,516197.1172,3831143.375,1244.75
11,513992.1719,3833530.1563,1320.3125
12,511652.0469,3836394.1719,1241.25
13,509765.9844,3838943.8437,1155.0
14,507914.8438,3841877.7344,1070.0
15,506945.8047,3845318.4687,986.875
16,504326.2656,3848601.6094,937.0
17,501462.25,3851325.9375,888.0
18,497864.75,3853072.2813,840.0625
19,495035.6563,3855621.9688,790.0
20,492277.1875,3858798.75,741.0
21,489602.8438,3859413.2187,688.5
22,485619.8281,3861776.2344,665.5
23,482301.75,3863557.5312,664.0
24,479891.7813,3865618.2187,662.5
25,477027.75,3867853.5625,661.0
26,473814.457,3869425.2813,675.6875
27,470112.1797,3871171.625,690.3125
28,465955.8516,3873372.0469,705.0
29,463613.6445,3875274.4219,719.6667
30,459825.8047,3877101.7812,734.3125
31,456755.7812,3878947.75,749.0
32,453713.3672,3880977.8594,765.7778
33,450674.8945,3883074.3125,782.5625
34,447628.543,3885038.0938,799.3333
35,444562.6484,3887160.7812,814.625
36,441873.2578,3889221.5,830.625
37,439134.3828,3891859.75,849.6875
38,435543.4219,3893386.9375,866.4375
39,432416.4766,3895188.625,883.2222
40,429374.0625,3897218.75,900.0
