,Easting(m),Northing(m),Elevation(m)
0,593413.6875,3775880.7187,434.1231
1,591772.125,3777737.3125,402.4439
2,589978.6875,3779377.625,222.1875
3,588862.1563,3781492.6875,108.1579
4,587670.1719,3783630.6562,267.8043
5,586394.4375,3786225.5781,218.3125
6,585075.0938,3788594.1875,333.7874
7,584051.8125,3790137.9375,400.6816
8,582801.9063,3791816.9844,392.9685
9,581872.0313,3792271.0156,158.0
10,580745.4375,3794038.375,113.7768
11,579772.625,3795647.5625,7.75
12,578358.5938,3798259.7813,606.875
13,577843.5625,3800126.7969,608.875
14,576733.0,3801881.1719,653.3125
15,575300.5312,3803378.0156,695.0
16,573642.75,3804762.1875,741.375
17,572516.0938,3805454.2812,785.5
18,572435.6094,3806339.5,794.0625
19,571453.8125,3807112.0781,807.5625
20,570810.0,3807900.7344,829.625
21,570166.2031,3808689.3906,851.6875
22,569522.4063,3809478.0469,873.75
23,568878.5938,3810266.7031,895.8125
