,Easting(m),Northing(m),Elevation(m)
0,592378.8438,3778544.2188,609.0
1,591066.7031,3780503.6563,606.6875
2,589737.0781,3783512.8125,604.375
3,589107.25,3784982.4062,602.3125
4,587725.1406,3787799.1094,599.625
5,586679.9687,3789629.7656,597.3125
6,585544.375,3790867.9375,595.0
7,584407.1875,3792617.4531,597.3125
8,583217.5313,3794384.4531,599.625
9,582344.5781,3795975.0938,602.0
10,581172.4062,3797987.0156,604.5
11,580035.2187,3799596.5781,606.6875
12,578933.0312,3800891.2031,608.9375
13,577673.3906,3803008.1094,654.375
14,576455.875,3804894.1875,695.875
15,574636.375,3806696.1875,741.375
16,573219.2812,3808533.1719,785.5
17,571504.75,3810387.6562,829.625
18,570525.0312,3812049.6875,873.75
19,569647.2813,3814072.4687,917.875
20,568254.1563,3816049.8125,962.0
21,566624.25,3817970.4688,952.2857
22,564838.7656,3819622.5,942.5625
23,563540.7813,3821070.3906,932.8571
24,561917.7031,3822476.1562,923.125
25,560457.2969,3824170.3125,913.4286
26,558572.875,3825977.625,903.6875
27,557786.4219,3827393.2188,894.0
28,557516.7813,3828921.1563,840.6875
29,556887.6406,3830808.5937,787.375
