,Easting(m),Northing(m),Elevation(m)
0,473530.4336,3592755.1563,-435.0503
1,473339.5469,3592851.1875,-352.1667
2,472975.7031,3593113.1563,-225.0174
3,472450.7539,3593493.6875,-122.527
4,472212.7969,3593692.5,-115.6916
5,472112.7734,3593796.25,-116.9596
6,472043.0703,3593869.4688,-118.3678
7,471957.207,3593961.375,-120.1858
8,471863.1953,3594052.5313,-132.4251
9,471745.2344,3594167.75,-150.8301
10,471517.8633,3594413.3125,-179.0717
11,471082.7227,3594953.5937,-261.3104
12,470708.6289,3595463.375,-355.118
13,470342.6992,3596015.7187,-413.7699
14,469841.3672,3596698.4688,-439.1489
15,469552.0508,3597130.875,-449.7592
16,469231.2852,3597684.9687,-412.6657
17,468887.0273,3598304.5625,-357.9131
18,468629.7812,3598823.1563,-312.2281
19,468611.5547,3599148.8438,-313.6544
20,468700.3945,3599604.5937,-356.6588
21,468717.4766,3600213.75,-320.3734
22,468719.125,3600903.9375,-295.1716
23,468503.0859,3601594.2188,-196.7058
24,468233.582,3602309.0,-144.0237
25,467938.0859,3603101.9688,-141.8166
26,467689.8164,3603788.25,-127.4837
27,467552.5313,3604285.3125,-147.3473
28,467331.5742,3604922.2188,-143.7506
29,467034.3711,3605758.7813,-146.6731
30,466728.1953,3606622.8125,-148.8093
31,466405.25,3607535.3125,-150.6446
32,466090.1406,3608425.375,-152.5353
33,465775.3594,3609314.25,-154.5209
34,465452.3359,3610259.375,-143.8819
35,465164.3359,3611231.6875,-84.4643
36,464883.9844,3612163.6562,-32.2384
37,464593.9922,3612844.2812,-87.2857
38,464505.3555,3613346.8437,-329.5248
39,464420.7305,3613864.8125,-589.8674
40,464165.9531,3614564.9687,-425.7455
41,464059.8516,3615227.75,-288.1071
42,463975.6055,3615835.3437,-333.9921
43,463737.5781,3616432.7188,-418.0671
44,463481.5703,3617038.5312,-512.7755
45,463089.0625,3617543.125,-428.164
46,462716.6836,3618006.9063,-360.5834
47,462426.0273,3618305.0,-329.2551
48,462226.7461,3618566.5938,-382.9432
49,462010.4688,3619004.5625,-554.5935
50,461867.6211,3619426.125,-642.543
51,461811.4102,3619682.9375,-678.4562
