,Easting(m),Northing(m),Elevation(m)
0,453628.6602,3629113.9375,-1549.4941
1,453378.4375,3629500.2187,-1356.9484
2,453130.9766,3629901.7187,-1153.6549
3,452817.25,3630396.5938,-1091.4771
4,452526.418,3630909.875,-1125.7936
5,452049.3906,3631708.375,-1133.1833
6,451604.1563,3632588.7813,-1101.7238
7,451202.5,3633504.7813,-1048.1296
8,450797.2852,3634409.5937,-1031.7684
9,450624.0391,3635215.375,-1069.1432
10,450481.3008,3635848.875,-1055.8104
11,450272.9609,3636439.1875,-1086.8947
12,449921.3047,3637068.9063,-1204.1981
13,449721.9336,3637448.0,-1267.6351
