,Easting(m),Northing(m),Elevation(m)
0,464299.7773,3595666.875,-1641.0221
1,464034.9961,3596124.5312,-1571.1553
2,463825.0234,3596789.5938,-1501.8436
3,463793.957,3597451.125,-1473.1799
4,463766.9414,3598121.4063,-1436.088
5,463740.2148,3598798.8125,-1395.0293
6,463644.6484,3599487.375,-1313.8688
7,463555.2578,3600180.4062,-1216.6143
8,463457.5234,3600745.7188,-1114.3069
9,463356.8477,3601329.4062,-1002.3771
10,463207.8203,3602108.4375,-805.108
11,463097.7344,3602786.7812,-589.553
12,463083.1367,3603056.4688,-509.2705
13,463084.8281,3603158.125,-480.9354
14,463085.4063,3603216.9375,-466.0452
15,463086.1758,3603285.5313,-449.0549
16,463089.3477,3603385.1563,-420.8816
17,463090.7266,3603499.4375,-395.6162
18,463091.0898,3603552.0,-385.4258
19,463091.082,3603648.4688,-369.187
20,463114.4844,3603943.375,-331.0981
21,463197.7422,3604574.25,-300.6618
22,463299.6367,3605516.3437,-283.0469
23,463419.9336,3606488.9687,-226.8556
24,463449.5078,3607365.4375,-217.757
25,463437.1797,3608133.75,-302.4078
26,463332.2227,3608704.7813,-353.7371
27,463089.5742,3609321.0625,-347.8396
28,462828.832,3609970.9062,-352.2982
29,462562.2187,3610590.0,-396.1451
30,462210.9414,3611106.6562,-409.4175
31,461886.0703,3611571.6562,-437.8723
32,461633.2422,3611973.2188,-464.8305
33,461342.9688,3612546.1562,-516.4996
34,461006.9727,3613237.2813,-548.4964
35,460728.6367,3613827.0937,-557.7879
36,460536.5625,3614196.5313,-541.3505
37,460179.1133,3614727.5,-499.7972
38,459748.6328,3615329.5313,-503.7263
39,459336.4141,3615888.7187,-532.3246
40,459215.2266,3616377.0938,-619.9663
41,459216.3711,3616943.4062,-713.5208
42,459232.6563,3617623.75,-786.8574
43,459136.3633,3618333.875,-789.9683
44,459043.2617,3619022.125,-792.3226
45,458956.2773,3619581.375,-802.5629
46,458858.0234,3620109.0313,-849.6367
47,458761.7422,3620679.9687,-935.4597
48,458761.3359,3620975.4375,-1017.1744
