,Easting(m),Northing(m),Elevation(m)
0,455686.6641,3624620.4688,-1078.7578
1,455693.2812,3624476.3125,-1044.8818
2,455805.5508,3624246.4688,-1046.5144
3,456191.9531,3623588.375,-1034.9073
4,456663.0977,3622787.4063,-1019.2695
5,457018.8242,3621939.0937,-902.2172
6,457354.7852,3621076.375,-826.1407
7,457458.3047,3620140.0625,-838.0742
8,457527.2188,3619184.3437,-922.3575
9,457506.0664,3618218.0938,-880.4605
10,457507.5313,3617316.25,-796.382
11,457594.0664,3616828.2813,-739.1114
12,457712.8164,3616447.2813,-673.5792
13,457976.9844,3615726.875,-505.0184
14,458239.6719,3614946.0625,-366.6068
15,458464.7461,3614225.625,-271.2631
16,458603.3828,3613802.0,-225.0114
17,458846.0195,3612954.7812,-189.7146
18,459062.3633,3611976.4688,-267.5977
19,459001.0664,3610988.75,-291.2657
20,458944.7969,3610163.125,-321.5794
