,Easting(m),Northing(m),Elevation(m)
0,464529.5313,3602060.75,-1354.8848
1,464204.3438,3602588.0,-1223.7091
2,463775.5625,3603269.75,-1167.7889
3,463268.7813,3604018.75,-1179.4192
4,462597.0,3604756.0,-1213.8055
5,461830.2813,3605541.75,-1258.6112
6,461105.4375,3606148.0,-1264.6606
7,460471.6875,3606693.0,-1242.7394
8,459993.2188,3607261.5,-1095.2518
9,459741.6563,3607666.0,-825.4728
10,459794.2813,3608126.5,-622.7379
11,459895.1563,3608630.0,-410.4072
12,459988.1563,3609242.75,-228.4137
13,460032.4727,3609605.6563,-148.2461
14,460194.2852,3609926.0938,-146.8141
15,460215.1641,3609967.4375,-146.6293
16,460249.4219,3610034.5625,-146.5332
17,460402.6914,3610280.5313,-146.0599
18,460441.5898,3610366.25,-145.9583
19,460521.5742,3610542.4688,-145.7492
20,460646.4766,3610714.0625,-167.0428
21,460718.543,3610813.0625,-179.3288
22,460680.4258,3611173.1875,-196.6303
23,460692.7539,3611249.6875,-202.1687
24,460728.2656,3611470.0313,-218.1201
25,460759.0234,3611650.8438,-231.8223
26,460576.1367,3611843.125,-227.096
27,460474.1563,3611950.3438,-224.4605
28,460259.4766,3612207.4063,-220.8107
29,460224.543,3612249.25,-220.2168
30,460195.582,3612277.5313,-218.0326
31,460128.5703,3612342.9688,-212.9794
32,459945.9961,3612485.3125,-200.7462
33,459861.7852,3612550.9688,-195.1036
34,459694.668,3612656.9688,-184.9412
35,459602.2188,3612715.625,-179.3194
36,459341.0742,3612927.3125,-161.4758
37,459329.4766,3612942.4063,-162.7977
38,459320.4883,3612954.125,-163.8218
39,459249.6914,3613015.0938,-169.8787
40,459164.668,3613088.2813,-177.1524
41,458998.9453,3613242.6875,-196.2889
42,458921.3711,3613315.8438,-205.3026
43,458813.375,3613417.6875,-217.8513
44,458809.625,3613420.3438,-218.2314
45,458806.8633,3613422.3125,-218.5116
46,458624.8359,3613531.6875,-227.923
47,458392.9414,3613671.0,-239.9128
48,458133.3789,3613813.0938,-251.897
49,458055.0508,3613846.1563,-254.4955
50,457712.3945,3613990.875,-265.8629
51,457571.6016,3614033.0938,-268.7419
52,457433.0195,3614074.625,-271.5756
53,457430.8086,3614075.2813,-271.6148
54,457425.9648,3614076.6875,-271.7007
55,457248.9531,3614118.1875,-273.7687
56,457024.8242,3614124.75,-254.4861
57,457041.5156,3614126.7813,-257.1212
58,457018.793,3614126.875,-254.8983
59,456981.707,3614140.0,-257.4323
60,457154.0,3614140.4688,-274.878
61,456782.9492,3614257.4375,-269.4546
62,456576.4492,3614363.4375,-282.4743
63,456461.1328,3614422.625,-289.7449
64,456414.8672,3614454.3125,-292.4001
65,456229.9414,3614580.9375,-303.0125
66,456094.2617,3614680.8438,-310.5671
