,Easting(m),Northing(m),Elevation(m)
0,460797.7578,3600119.1562,-1374.9858
1,460660.7305,3600257.9063,-1370.3972
2,460508.9844,3600411.8125,-1365.6119
3,460417.1328,3600502.0,-1368.929
4,460275.6719,3600721.875,-1355.3159
5,460072.4336,3601407.0625,-1356.7717
6,459822.1016,3602224.4063,-1377.0054
7,459616.6914,3602895.25,-1385.8364
8,459446.4727,3603463.625,-1384.3152
9,459336.9297,3603939.0312,-1337.7883
10,459147.832,3604762.25,-1257.2302
11,458964.7969,3605615.0,-1143.1895
12,458783.3125,3606461.2813,-1029.6559
13,458623.3203,3607292.625,-874.6061
14,458481.875,3608133.2188,-669.4716
15,458390.5195,3608943.0938,-477.9402
16,458309.125,3609769.9062,-357.5119
17,458210.3555,3610642.5,-262.8014
18,458025.582,3611608.2813,-261.4675
19,457821.2578,3612565.0312,-313.0569
20,457601.332,3613545.0,-392.43
21,457375.1758,3614484.8125,-506.4447
22,457149.6836,3615429.0625,-616.671
23,456919.6875,3616365.5625,-661.8058
24,456686.7813,3617306.8125,-710.7208
25,456481.5547,3618256.9375,-685.7327
26,456225.3164,3619182.7188,-665.9459
27,455932.0508,3620133.0625,-716.9121
28,455606.6992,3621057.125,-858.7916
29,455231.1484,3621824.0938,-895.3462
30,454999.4453,3622295.8125,-920.1497
31,454620.0,3623054.0,-944.9887
32,454233.7188,3623901.5625,-892.2019
33,453864.9062,3624758.1563,-792.9702
34,453452.0273,3625575.6875,-820.8216
35,452804.2188,3626197.7813,-802.3268
36,452122.3945,3626835.0625,-813.5863
37,451447.4609,3627469.9688,-817.5021
38,450787.2461,3628087.8125,-827.0225
39,450039.6562,3628758.0625,-883.4185
40,449289.4336,3629406.0,-984.0665
41,448604.4336,3630097.0937,-1078.6018
42,447894.8516,3630814.9688,-1173.429
43,447245.5,3631490.4375,-1230.4015
44,446960.5078,3632024.0312,-1281.9568
45,446710.7812,3632556.4687,-1295.6049
46,446462.9219,3633299.0625,-1219.3291
47,446211.6133,3634087.6563,-1111.6898
48,445945.3906,3634863.2188,-1048.5089
49,445758.2852,3635385.375,-1051.7981
